Product Code,Product Label,"UAE export to vietnam Value in 2022, USD thousands","annual growth export from uae to vietnam in value between 2018-2022, %, p.a","vietnam Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"import Value vietnam from world in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from world to vietnam in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","UAE Share in world exports, % ",Quantity exported from UAE to world  in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
30219,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,20, , , ,, , , , ,Tons, ,200,2,0,159,Tons,"4,686",2
30221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut . . .", , , ,20, , , ,,2,-79,0,0, , ,4,26,0,2, ,"20,500",
30224,"Fresh or chilled turbot ""Psetta maxima""", , , ,15, , , ,,4,19,0,0, , , , , ,16, ,"18,688",
30229,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .", , , ,15, , , ,,1,-80,0,0, , , , , ,98, ,"7,102",
30231,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga""", , , ,15, , , ,,291,-45,0,71,Tons,"4,099",2,-21,0,2,Tons,"24,500",
30232,"Fresh or chilled yellowfin tunas ""Thunnus albacares""", , , ,15, , , ,,642,-2,0,225,Tons,"2,853",2,-50,0,159,Tons,"5,176",
30235,"Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)", , , ,15, , , ,,366,4,0,10,Tons,"36,600", , , ,55,Tons,"26,036",
30236,"Fresh or chilled Southern bluefin tunas ""Thunnus maccoyii""", , , , , , , ,,3, ,0,0,Tons, , , , , ,Tons, ,
30239,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus . . .", , , ,15, , , ,,18, ,0,5,Tons,"3,600",5,-24,0,3,Tons,"5,333",
30242,"Fresh or chilled anchovies ""Engraulis spp.""", , , ,12, , , ,,1,-54,0,2,Tons,500, , , ,181,Tons,"4,028",
30243,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", . . .", , , , , , , ,, , , , , , ,1, ,0,0, , ,
30244,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""", , , ,15, , , ,,58, ,0,12,No quantity,"4,833",4,-24,0,7,No quantity,"5,857",
30245,"Fresh or chilled jack and horse mackerel ""Trachurus spp.""", , , ,12, , , ,,1,17,0,1,Tons,"1,000", , , ,0,Tons, ,
30246,"Fresh or chilled cobia ""Rachycentron canadum""", , , ,12, , , ,,"9,850",910,74,"1,443", ,"6,826", , , ,0, , ,
30249,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, . . .", , , ,12, , , ,,4,-64,0,2,No quantity,"2,000",3,-5,0,174,No quantity,"6,678",
30254,"Fresh or chilled hake ""Merluccius spp., Urophycis spp.""", , , ,12, , , ,,2,-44,0,3, ,667, , , ,0, , ,
30255,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""", , , , , , , ,, , , , , , ,11, ,0, , , ,
30259,"Fresh or chilled fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, . . .", , , ,12, , , ,,1,-75,0,3,Tons,333, , , ,20,Tons,"8,600",
30272,"Fresh or chilled catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , , ,20, , , ,,1,-17,0,1,Tons,"1,000", , , ,0,Tons, ,
30273,"Fresh or chilled carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys . . .", , , ,20, , , ,,1,-74,0,2,Tons,500, , , ,198,Tons,"2,399",
30279,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""", , , ,20, , , ,,22,17,0,2,Tons,"11,000",30,37,0,72,Tons,"16,639",
30281,Fresh or chilled dogfish and other sharks, , , , , , , ,, , , , , , ,1, ,0,0, , ,
30284,"Fresh or chilled sea bass ""Dicentrarchus spp.""", , , ,12, , , ,,8,-56,0,15, ,533,15, ,0,"2,337", ,"7,185",
30285,"Fresh or chilled sea bream ""Sparidae""", , , ,12, , , ,,17,-41,0,18, ,944, , , ,"1,870", ,"4,941",
30289,"Fresh or chilled fish, n.e.s.", , , ,15, , , ,,"21,273",75,1,"5,561",Tons,"3,825",56,-16,0,"1,826",Tons,"5,321",
30291,"Fresh or chilled fish livers, roes and milt", , , ,20, , , ,,2, ,0,0, , , , , ,4, ,"37,500",
30299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, . . .", , , ,10, , , ,,7,-75,0,1,Tons,"7,000",1,-48,0,4,Tons,"1,750",
30311,"Frozen sockeye salmon [red salmon] ""Oncorhynchus nerka""", , , ,15, , , ,,"5,254",11,1,"1,497", ,"3,510", , , ,6, ,"6,833",
30312,"Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")", , , ,12, , , ,,"77,647",18,5,"16,535",Tons,"4,696",163,7,0,0,Tons, ,
30313,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""", , , ,10, , , ,,"17,496",-10,2,"2,940",Tons,"5,951",274,52,0,"2,758",Tons,"7,992",12
30314,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, . . .", , , ,10, , , ,,"64,205",11,10,"9,705",Tons,"6,616", , , ,0,Tons, ,
30319,"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)", , , ,15, , , ,,478,-76,1,144,Tons,"3,319",778,-8,1,64,Tons,"5,391",
30323,"Frozen tilapia ""Oreochromis spp.""", , , ,20, , , ,,59,3,0,20,Tons,"2,950",316,272,0,"2,307",Tons,"1,206",
30324,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , , ,20, , , ,,25,-26,0,12,Tons,"2,083",2, ,0,"1,030",Tons,"1,561",
30326,"Frozen eels ""Anguilla spp.""", , , , , , , ,,194,-53,0,26,Tons,"7,462", , , , ,Tons, ,
30329,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)", , , ,20, , , ,,73,-58,0,33,Tons,"2,212",10,-45,0,62,Tons,"3,161",
30331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus . . .", , , ,12, , , ,,"2,637",-48,0,420, ,"6,279",8, ,0,0, , ,
30332,"Frozen plaice ""Pleuronectes platessa""", , , ,20, , , ,,14,-11,0,3,Tons,"4,667", , , ,10,Tons,"2,300",
30333,"Frozen sole ""Solea spp.""", , , ,20, , , ,,21,-68,0,1,Tons,"21,000",80, ,0,7,Tons,"6,000",
30334,"Frozen turbot ""Psetta maxima""", , , ,15, , , ,,8,-69,0,0,Tons, , , , ,1,Tons,"13,000",
30339,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" . . .", , , ,15, , , ,,"4,892",-46,1,"3,197",Tons,"1,530",1,69,0,386,Tons,"2,119",
30341,"Frozen albacore or longfinned tunas ""Thunnus alalunga""", , , ,12, , , ,,"37,362",6,10,"11,560",Tons,"3,232",16,21,0, ,Tons, ,
30342,"Frozen yellowfin tunas ""Thunnus albacares""", , , ,20, , , ,,"231,542",30,16,"69,934",Tons,"3,311",90,33,0,1,Tons,"22,000",771
30343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""", , , ,15, , , ,,"29,193",-8,2,"75,414",Tons,387,13, ,0,313,Tons,"1,300",135
30344,"Frozen bigeye tunas ""Thunnus obesus""", , , , , , , ,,"12,510",20,3,"2,817",Tons,"4,441", , , , ,Tons, ,
30345,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)", , , ,14, , , ,,12,11,0,8,Tons,"1,500", , , ,23,Tons,"8,435",
30346,"Frozen Southern bluefin tunas ""Thunnus maccoyii""", , , , , , , ,,91,174,0,21,Tons,"4,333", , , , ,Tons, ,
30349,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, . . .", , , ,15, , , ,,"3,769",-30,3,"1,791",Tons,"2,104",42,-40,0,446,Tons,"2,726",
30351,"Frozen herrings ""Clupea harengus, Clupea pallasii""", , , ,10, , , ,,"9,832",86,1,"6,929",Tons,"1,419",51,-47,0,47,Tons,"1,255",
30353,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling . . .", , , ,20, , , ,,"7,283",13,1,"10,152",Tons,717,497,43,0,485,Tons,"1,767",3
30354,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""", , , ,13, , , ,,"126,107",6,6,"86,608",Tons,"1,456",186,18,0,748,Tons,"2,040",184
30355,"Frozen jack and horse mackerel ""Trachurus spp.""", , , ,10, , , ,,"16,135",17,2,"13,305",Tons,"1,213",588,132,0,157,Tons,"1,510",
30357,"Frozen swordfish ""Xiphias gladius""", , , , , , , ,,"4,598",-12,2,912,Tons,"5,042", , , , ,Tons, ,
30359,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus . . .", , , ,10, , , ,,"35,426",-8,4,"12,577",Tons,"2,817","1,601",198,0,"1,144",Tons,"3,847",
30363,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""", , , ,14, , , ,,"12,271",21,1,"2,701",Tons,"4,543",2,-42,0,263,Tons,"4,871",
30364,"Frozen haddock ""Melanogrammus aeglefinus""", , , ,14, , , ,,"5,632", ,2,"1,726", ,"3,263",29, ,0, , , ,
30365,"Frozen coalfish ""Pollachius virens""", , , ,14, , , ,,"1,784",77,1,767, ,"2,326",10, ,0, , , ,
30366,"Frozen hake ""Merluccius spp., Urophycis spp.""", , , , , , , ,, , , , , , ,14, ,0,144, ,"1,250",
30367,"Frozen Alaska pollack ""Theragra chalcogramma""", , , ,10, , , ,,"10,933",13,1,"7,538",Tons,"1,450", , , ,3,Tons,"4,333",
30368,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""", , , ,10, , , ,,87,-56,0,59, ,"1,475",125,3,0,472, ,888,
30369,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, . . .", , , ,10, , , ,,"5,015",-3,2,0,Tons, ,223,11,0,98,Tons,"1,184",
30381,Frozen dogfish and other sharks, , , ,15, , , ,,64,-47,0,55,Tons,"1,164",41, ,0, ,Tons, ,
30382,"Frozen rays and skates ""Rajidae""", , , ,10, , , ,,50,-36,0,37,Tons,"1,351",126,484,0,15,Tons,"2,200",
30383,"Frozen toothfish ""Dissostichus spp.""", , , ,10, , , ,,497,-74,0,15, ,"33,133",7, ,0,83, ,"11,217",
30384,"Frozen sea bass ""Dicentrarchus spp.""", , , ,20, , , ,,446,-54,1,61,Tons,"7,311",152,17,0,40,Tons,"13,200",
30389,"Frozen fish, n.e.s.", , , ,14, , , ,,"111,846",-19,3,"44,249",Tons,"2,528","5,400",2,0,"19,234",Tons,"1,525",
30391,"Frozen fish livers, roes and milt", , , ,12, , , ,,"16,930",-3,1,"2,916",Tons,"5,806", , , ,48,Tons,"4,542",
30392,Frozen shark fins, , , , , , , ,,"3,555",-28,4,297, ,"11,970", , , , , , ,
30399,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt . . .", , , ,10, , , ,,"20,275",-7,5,"17,426",Tons,"1,163",79,-24,0,1,Tons,"29,000",
30431,"Fresh or chilled fillets of tilapia ""Oreochromis spp.""", , , ,15, , , ,,12,-33,0,3,Tons,"4,000",33,78,0,41,Tons,"7,390",
30432,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus . . .", , , ,15, , , ,,71,447,0,42,Tons,"1,690",1,4,0,2,Tons,"5,000",
30433,"Fresh or chilled fillets of Nile perch ""Lates niloticus""", , , ,15, , , ,,116, ,0,19, ,"6,105",22,-8,0,55, ,"5,327",
30439,"Fresh or chilled fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, . . .", , , ,15, , , ,,2,-79,0,0,Tons, ,30,156,0,1,Tons,"5,000",
30441,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus . . .", , , ,15, , , ,,158,-55,0,30,Tons,"5,267",5,-44,0,170,Tons,"12,747",
30442,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,15, , , ,, , , , ,Tons, ,66, ,0,11,Tons,"10,182",
30444,"Fresh or chilled fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, . . .", , , ,15, , , ,,73, ,0,2,Tons,"36,500", , , ,2,Tons,"13,000",
30445,"Fresh or chilled fillets of swordfish ""Xiphias gladius""", , , ,15, , , ,, , , , ,Tons, ,3,195,0, ,Tons, ,
30446,"Fresh or chilled fillets of toothfish ""Dissostichus spp.""", , , ,15, , , ,,64, ,2,1,Tons,"64,000",22,85,0, ,Tons, ,
30447,Fresh or chilled fillets of dogfish and other sharks, , , ,15, , , ,, , , , ,Tons, ,4,215,0, ,Tons, ,
30449,"Fresh or chilled fillets of fish, n.e.s.", , , ,15, , , ,,"1,028",-4,0,25,Tons,"41,120",238,-8,0,76,Tons,"26,118",
30452,"Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)", , , ,15, , , ,, , , , ,Tons, ,19, ,0,1,Tons,"12,000",
30454,"Fresh or chilled meat, whether or not minced, of swordfish ""Xiphias gladius"" (excl. fillets)", , , , , , , ,, , , , , , ,2, ,0, , , ,
30459,"Fresh or chilled fish meat, whether or not minced (excl. all fillets, tilapias, catfish, carp, . . .", , , ,15, , , ,, , , , ,Tons, ,17,-2,0,1,Tons,"56,000",
30461,"Frozen fillets of tilapia ""Oreochromis spp.""", , , ,15, , , ,,71,-29,0,25,Tons,"2,840",13,71,0,15,Tons,"2,467",
30462,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , , ,15, , , ,,"1,159",-15,0,394,Tons,"2,942",851,43,0,71,Tons,"1,141",
30463,"Frozen fillets of Nile perch ""Lates niloticus""", , , ,15, , , ,,86, ,0,18,Tons,"4,778",140,10,0,640,Tons,"6,164",
30469,"Frozen fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys . . .", , , ,15, , , ,,384,-9,1,68,Tons,"5,647", , , ,425,Tons,"2,033",
30471,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""", , , ,15, , , ,,917,48,0,148,Tons,"6,196","1,079",68,0,66,Tons,"10,121",
