company name,contact number,area,product category 1,product category 2
J&C SERVICIOS Y EMPAQUES DE JUAREZ,tel:+52 6563073697,Chih - Mexico,Cardboard packagings,Plastic foams
Santzol México SA de CV,tel:+52 8182180676,Monterrey - Mexico,Locks and padlocks,"Locks, door and gate"
LINKMEX Trade,tel:+52 941410297,Ciudad de méxico - Mexico,Logistics and procurement services,"Warehousing and distribution logistics services, national"
AOXLAB S.A.S.,tel:+52 3112169900,Medellín - Mexico,"Materials testing, assaying, analysing and inspection services","Test laboratories, microbiology"
RSI México,tel:+52 2150679,Tijuana - Mexico,Adhesive labels,"Labels, paper, self-adhesive"
Las nubes CBD,tel:+52 3336110026,Zapopan - Mexico,"Health services, specialised",Health specialists
Bolsas Altamira,tel:+52 8333002292,Monterrey - Mexico,"Bags and sacks, plastic","Bags and sacks, polyethylene (PE)"
Top Textiles,tel:+52 3314146549,Guadalajara - Mexico,"Fabrics, non-woven","Fabrics, non-woven, spun-bonded"
Nakawe Trading,tel:+52 33 1240 4592,Sayulita - Mexico,Central purchasing organisations,"Central purchasing organisations for hypermarkets, department stores, high street stores and retail outlets"
MATRADE,tel:+52 5552014540,"México, d.f. méxico - Mexico","Saddlery, belts and straps, leather","Leather upholstery, motor vehicle"
"Smes Travel S.A. DE C.V., Smes Travel",tel:+52 999 576 7307,Yucatan - Mexico,"Travel agents, tour operators",
Assertive Business,tel:+52 5553750100,Mexico city - Mexico,"Software, industrial","Integrated computer systems, production monitoring and control"
Clinica de Nutricion y Estetica Maricruz Rojo,tel:+52 33 1046 8074,Zapopan - Mexico,Ultrasonic equipment for biological and medical applications,
Macropol,tel:+52 5510835800,"Cd lópez mateos, - Mexico",Raw materials for pharmaceuticals,Natural and chemically derived additives for food and beverages
Sechiamente,tel:+52 3324067954,Monterrey - Mexico,Diet products,"Health and diet foods, probiotic"
Impresoras Evolis Mexico,tel:+52 9981183298,Cancun - Mexico,"Installation and maintenance services, for security equipment","Software, graphic design and image processing"
Forte Industria,tel:+52 8118011671,Monterrey - Mexico,"Hybrid manufacturing equipment/hybrid machine tools, metalworking",Wholesale trade
MM Rentas y Servicios,tel:+52 81 8355 8822,Guadalupe - Mexico,Hoists,
INGENIERIA SERVICIOS Y ACABADOS SALPOC SA DE CV,tel:+52 2213493963,Puebla - Mexico,Welding services for metal parts,Weld assembly manufacturing services
Servicios de iluminación,tel:+52 3330700586,Guadalajara - Mexico,"Lighting equipment, light emitting diode (LED)","Electric lighting equipment, indoor"
Finsostener,tel:+52 5592465728,Mexico - Mexico,Finance houses,"Consumer credit financing, finance houses"
Ingeniería e Instrumentación Industrial,tel:+52 5526228264,Mexico - Mexico,Resistors,Timers
Talentos Ágiles,tel:+52 6563476209,Juárez - Mexico,Human resources (HR) services,"Training courses, management and human resources"
BASMAC,tel:+52 2871210313,Leon de los aldama (leon) - Mexico,"Fruit, dried","Lemons and limes, dried"
Servicios Integrales de Tecnologia,tel:+52 5533590666,Cuernavaca - Mexico,Information technology (IT) auditing and consulting services,Information technology (IT) consultants
DISEÑO Y MANUFACTURA DE MOBILIARIO,tel:+52 9992247700,Mérida - Mexico,"Furniture, domestic","Furniture, domestic, living room"
4MT LINERS SA DE CV,tel:+52 5592647986,Santa maria tonanitla - Mexico,Installation and maintenance services for civil engineering and building machinery and equipment,Irrigation and watering equipment
AGENCIA MARITIMA MARINA SA DE CV,tel:+52 55 27558677,Distrito federal - Mexico,Shipping and forwarding agents,"Shipping and forwarding agents, with freight container facilities"
INGENIERIA Y SERVICIOS DE AHORRO ENERGETICO MEXICO,tel:+52 8112224506,Santiago de querétaro - Mexico,"Solar photovoltaic, solar thermal and solar electric equipment","Solar power plants, photovoltaic (PV) cell"
Minerales Rio Roma,tel:+52 1223567,San luis potosí - Mexico,Spar minerals,Fluorspar/fluorite
ABASTECIMIENTO INTEGRAL PORTUARIO,tel:+52 2299890704,Veracruz - Mexico,Logistics and procurement services,Export consultants and services
Mexico Election Tshirts - Rekhas House of Cotton,tel:+52 7875999993,Benito juárez - Mexico,Clothes for women,T-shirts for women
"OPERADORA TURISTICA MEXICOOX S.A. DE C.V, operadora turistica mexicoox",tel:+52 9999559709,Merida - Mexico,"Travel agents, tour operators",
CIF ALMACENAJES Y SERVICIOS SA DE CV,tel:+52 2297758140,Veracruz - Mexico,"Stevedoring, harbour and dock services, ship attendance",Container depot services (shipping)
Miguel Angel Cruz Preciado,tel:+52 4779088885,Guanajuato - Mexico,Automation systems and servomechanisms,Servo-controls for automation applications
Pinturas Acuario Calzada Lázaro Cárdenas,tel:+52 229 509 6643,Linda vista - Mexico,Chemicals for building materials,Water-repellents for dampcourses
HOLOGRAMAS DE MEXICO S DE RL DE CV,tel:+52 5547875995,Ciudad de méxico - Mexico,Stationery articles,Transfers
Casa Vee Yuu,tel:+52 222 290 4705,Puebla - Mexico,Hotels and motels,"Hostels, youth hostels"
T.Zain. Tornilleria y Maquinados para la construcción e industria.,tel:+52 5579847212,Estado de méxico - Mexico,"Screws, non-turned, metal","Screws, non-ferrous metals, non-turned"
Anuncios luminosos KRD,tel:+52 4422072927,Santiago de querétaro - Mexico,Publicity panels,"Signboards, advertising"
JOSE FEDERICO GONZALEZ SANCHEZ,tel:+52 2221107539,Puebla - Mexico,"Furniture, domestic","Furniture, domestic, rustic style"
Tarot | Caminos de Luz,tel:+52 7223788266,Metepec - Mexico,Training courses NES,"Training courses, astronomy"
H&G Tools Supply de México S.A. de C.V.,tel:+52 442 411 3627,Santiago de querétaro - Mexico,"Chisels, taps, dies, threaders, manual reamers, drills and similar tools","Dies and punches, stamping, metalworking"
Mi Álbum,tel:+52 5555217000,Ciudad de méxico - Mexico,"Photographic studios, film processing services",Digital photograph printing services
"Capassatravel S.A.S.  DE  C.V., Capassatravel (Capassatravel)",tel:+52 9994396248,Merida - Mexico,"Travel agents, tour operators",
SMARTLO,tel:+52 222 180 8895,Cuautitlán - Mexico,Packaging and crating services for transportation,Road transport services classified by type of freight
Alleato Soluciones,tel:+52 771 746 4500,Pachuca de soto - Mexico,"Dry-cleaning and dyeing services, domestic","Dry-cleaning services, domestic"
"Ecodiflex, SA de CV",tel:+52 33639394,Tlajomulco de zúñiga - Mexico,Adhesive labels,
Mind it! Psicólogos en Tijuana,tel:+52 6646571999,Tijuana - Mexico,"Health services, specialised","Psychotherapists (psychiatrists, psychologists...)"
GOLD SHIELD,tel:+52 5547951964,La cuevita - Mexico,Jewellery,
PROEXI INTERNACIONAL DEL PACIFICO SC,tel:+52 8671935648,Manzanillo - Mexico,Logistics services,
Grupo Arrosse de mexico,tel:+52 5543360083,Ciudad de méxico - Mexico,"Plastic products for the chemical, pharmaceutical and cosmetic industries","Sprayers and atomisers, plastic, for perfume"
PAAJTAL COMERCIALIZADORA SA DE CV,tel:+52 9984653441,Benito juárez - Mexico,Services to the furniture industry,Hotel furniture installation services
EM Consulting,tel:+52 5546460247,Atizapan de zaragoza - Mexico,Financial management consultants and services,Accounting services
SK Advisor Logistics,tel:+52 332101 0491,Guadalajara - Mexico,Shipping and forwarding agents,"Shipping and forwarding agents, international"
"Hoteles y Viñedos del Valle de Guadalupe, SA de CV",tel:+52 646 171 5631,Valle de guadalupe - Mexico,"Wine, grape","Wines, red"
SERVICIOS BEST CTC SA DE CV,tel:+52 5580930217,Estado de méxico - Mexico,Equipment for radio communication networks,"Radio links, telecommunication"
"Just Go S.A. DE C.V., Just Go (Just Go)",tel:+52 9993879722,Progreso yucatan - Mexico,"Travel agents, tour operators",
RCTM COMPUTERS,tel:+52 24846334,Zapopan - Mexico,Cine-cameras and video cameras,"Cine-cameras, surveillance"
"Woden, S.A. de C.V.",tel:+52 8442323549,Saltillo - Mexico,"Embroidery, machine-made, by use",
AMT GLOBAL STRATEGV S DE RL DE CV,tel:+52 8123208331,García - Mexico,"Handling carts, trucks and trolleys","Carts and wagons, goods transport"
DIMEP Sistemas,tel:+52 55 85795766,Estado de méxico - Mexico,"Access control, security and surveillance systems","Access control systems, door entry, intercom"
"CRONOS CONVERPLASTIC SA DE CV, CRONOS",tel:+52 08184005000,Monterrey - Mexico,"Sheet and film, plastic","Sheet and film, polyethylene (PE)"
AM ROMA Y CIA S.A. DE C.V.,tel:+52 3594621,Estado de méxico - Mexico,Pest control products,
Juan Arturo Gómez,tel:+52 5589527383,Ciudad de méxico - Mexico,Office furniture,"Chairs, adjustable, office"
Jose Jorge Figueroa Cervantes,tel:+52 44 2640 7734,La galera - Mexico,"Bars, steel and rolled steel","Bars, steel, for stamping and forging"
Detecta Indica S.A. de C.V,tel:+52 8123534754,Nuevo león - Mexico,Electronic sensors,"Sensors, electrochemical"
"Price Car Rental, PCR (Renta de Autos en Cancun)",tel:+52 9988862509,Cancun - Mexico,Road transport vehicle hire and rental services,"Motor cars, without chauffeur (hire/rental)"
Yacht Rental Cabo,tel:+52 8110330509,Cabo san lucas - Mexico,,
LITHO MAREVA SA DE CV,tel:+52 59593874,Estado de méxico - Mexico,Printing blocks and plates,Photogravure plate and cylinder making services
"Tracing Logistics MZO, TLM",tel:+52 314 120 5277,Manzanillo - Mexico,Enterprise application software (EAS),"Software, transport and logistics"
"Neumatica Mixteca, NEMIX",tel:+52 9515242503,San miguel etla - Mexico,Compressors,Project management services
"Cervecería Modelo de Guadalajara, S.A. de C.V. (PLANTA GUADALAJARA)",tel:+52 33 3880 8800,Guadalajara - Mexico,Beers,"Beers, low alcohol"
"Compañia Cervecera de Zacatecas, S.A. de C.V.",tel:+52 478 985 1240,Calera de victor rosales - Mexico,Beers,"Beers, black"
"Cervecería Modelo, S.A. de C.V. (PLANTA - MEXICO)",tel:+52 55 5545 6060,Miguel hidalgo - Mexico,Beers,Export beers
"Mobiliario Tubular Valencia, S.A. de C.V.",tel:+52 5587466613,Iztapalapa - Mexico,"Wine, grape","Wines, red"
AHG Seguridad Privada y Servicios Generales,tel:+52 442 469 2711,Santiago de querétaro - Mexico,Security consultants and services,Factory guard services
Cafés de Especialidad de Chiapas SAPI de CV,tel:+52 9626201470,Tapachula - Mexico,"Food, dehydrated and freeze-dried","Coffee, freeze-dried"
ARMENG,tel:+52 6649720264,Tijuana - Mexico,Plastic extrusion equipment and machinery,Injection moulding machinery and equipment for plastics
Grupo Enserss de México,tel:+52 3050840,Pueblo nuevo - Mexico,Building maintenance services,Building maintenance contractors
Scanex Document Solutions,tel:+52 6861523437,Mexicali - Mexico,Scanning and digitisation services,"Digitisation services, technical documents"
PIPEFLOW BY SIALEX,tel:+52 9995645677,Mérida - Mexico,"Sanitary and bathroom accessories, metal","Water softeners, domestic, metal"
Safe Food Storage,tel:+52 5513849945,Benito juarez - Mexico,Food wrapping and packaging paper,"Labels, paper, non-adhesive, for the food industry"
Carbajal Urrutia y Asociados,tel:+52 1421672,Ciudad obregón - Mexico,Financial management consultants and services,"Training courses, finance, accounting and insurance"
Aminox,tel:+52 5547676266,Chimalhuacan - Mexico,Washbasins and hand sinks,Hand sinks
Mariela Gutiérrez Gutiérrez,tel:+52 3384215252,Tlaquepaque - Mexico,"Protective and safety work clothing, by use",Gloves for welders
Sacos de Papel JID,tel:+52 5527590925,Naucalpan de juárez - Mexico,Paper bags and sacks for packaging,"Sacks, paper, kraft"
"SUMINISTROS Y SERVICIOS INDUSTRIALES VALZMA, S.A. DE C.V",tel:+52 2291029474,Boca del río - Mexico,Industrial cleaning services,Building disinfection contractors
Transvecto Logistics S.A. de C.V.,tel:+52 8126466312,San pedro - Mexico,Shipping and forwarding agents,Logistics services
Compuestos de Hule,tel:+52 5536406342,Ciudad de méxico - Mexico,Synthetic rubbers,Butadiene rubber
Comsi Logistics,tel:+52 3331723066,Zapopan - Mexico,Logistics and procurement services,Export consultants and services
Tics Tecnología,tel:+52 4499183090,Aguascalientes - Mexico,Information technology (IT) engineering,
Parker Hannifin de México,tel:+52 7222754200,Toluca de lerdo - Mexico,Pneumatic cylinders,Air filtration equipment
Mesumex,tel:+52 5536713764,Estado de méxico - Mexico,"Scales, balances and weighing machines",Hoists
Sica Sport,tel:+52 5543368054,Estado de méxico - Mexico,Team sports equipment,Sports ground equipment NES
Variación Electromecánicas SA de CV,tel:+52 5553104661,Mexico city - Mexico,Wholesale trade,Electric and electronic equipment for industrial use (wholesale)
Envases y Algo mas S.A de C.V,tel:+52 5555743000,Naucalpan de juárez - Mexico,"Bottles and packaging tubes, plastic","Seals, closures and caps, plastic, by use"
"Agencia de viajes amantours S.A. De C.V., Amantours (Agencia de viajes amantours)",tel:+52 9994375863,Yucatan - Mexico,Holiday camps and tourist complexes,Holiday camps
Steam Cleaning,tel:+52 5545294643,Ciudad de méxico - Mexico,"Industrial cleaning services, by type of premises and equipment","Cleaning contractors, shops, supermarkets, department stores and shopping centres"
GRUPO SILA DE NUEVO LAREDO,tel:+52 8671489101,Nuevo laredo - Mexico,Road transport services classified by type of freight,Removal and storage
Jesse Cano Domínguez,tel:+52 7772444796,Cuernavaca - Mexico,Advertisement and artwork services,"Printing services, digital"
Psicologos en Torreón,tel:+52 8714609942,Torreón - Mexico,"Health services, specialised","Psychotherapists (psychiatrists, psychologists...)"
Smart Parts Exports,tel:+52 8826477077,Colonia olímpica - Mexico,Motor vehicle maintenance and repair services,"Small to medium area repair technology (SMART) services, motor vehicles"
Ohrangutang Care y Provoke - Mexico,tel:+52 55 2577 2435,Ciudad de méxico - Mexico,"Personal care products and cosmetics, organic","Skin and body care products, organic"
Portavox.mx,tel:+52 5589577236,Ciudad de méxico - Mexico,Optical glass fibre products,Optical fibres
"Industrial La Fama, S.A. de C.V.",tel:+52 4433231590,Morelia michoacán - Mexico,Alcohols and epoxides,Glycerol/glycerine
"Imasmex Offshore Solutions, S DE R.L DE C.V",tel:+52 8331200830,Tampico - Mexico,"Accident prevention devices and equipment, industrial",Anti-spillage devices for hazardous materials
Herramental VS,tel:+52 4777378559,León - Mexico,"Machine tools, multifunctional, for metalworking","Machining centres, computer numerically controlled (CNC) metalworking"
Scraps Industries Inc,tel:+52 9853132429,Tijuana - Mexico,Plastic labels,"Labels and stickers, plastic, three-dimensional (3D)"
Alta Rank,tel:+52 2226667774,Puebla - Mexico,"Software, internet and intranet","Software, search engine optimisation (SEO)"
"DESARROLLO DE INNOVACIÓN Y CONOCIMIENTO MVR, SA DE CV",tel:+52 5577878032,Iztacalco - Mexico,Information technology (IT) engineering,Industrial development consultants
"Centrum Transgenia, S.A.S.",tel:+52 5525326944,Ecatepec de morelos - Mexico,Information technology (IT) auditing and consulting services,Software consultants
Tecnomile & Inlaser,tel:+52 5555114350,Estado de méxico - Mexico,Lasers,"Lasers, fibre"
Works Coworking,tel:+52 442 111 6114,Santiago de querétaro - Mexico,"Property development, management and sales services",Coworking spaces
Luis Javier Cabanillas Champac,tel:+52 222 3798054,Puebla - Mexico,Enterprise application software (EAS),"Software, customer relationship management (CRM)"
Grupo Mhiba Pack S.A. de C.V.,tel:+52 5587229248,San pedro atzompa - Mexico,Thematic information and documentation services,"Sales information services, export"
Baby Bebé,tel:+52 3331223267,Zapopan - Mexico,Bed linen,Pram and cot sets
Grupo Ed Centro de Distribución,tel:+52 5558843355,Tultitlán de mariano escobedo - Mexico,"Handling carts, trucks and trolleys",Packaging and crating services for transportation
"CARGO & MERCHANDISE LOGISTICS, S. DE R.L. DE C.V.",tel:+52 5539498781,Estado de méxico - Mexico,Logistics and procurement services,"Warehousing and distribution logistics services, international"
Compas Digital,tel:+52 8110498647,Monterrey - Mexico,Marketing and merchandising services,Network marketing (NM) services/multi-level marketing (MLM) services
"Experiencias de Provincia, S. de R.L. de C.V.",tel:+52 9931992531,Villehermosa - Mexico,"Confectionery and chocolate, organic","Cocoa and chocolate products, organic"
Great Partner to Work S.A.P.I. de R.L.,tel:+52 8880567,León - Mexico,Thematic information and documentation services,Commercial information services
"I Originales, S.A. de C.V.",tel:+52 2411729021,Heroica puebla de zaragoza - Mexico,Stationery articles,Exercise books
Promotora de Servicios Integrales para la Construcción S.A. de C.V.,tel:+52 800 177 6742,Toluca de lerdo - Mexico,"Sanitary ware, plastic",Lifts and elevators
Administradora Peninsular,tel:+52 646 177 5953,Ensenada - Mexico,Management services,"Management services, retail outlet"
Rivera Inmobiliaria,tel:+52 55 5370 0347,Ciudad lópez mateos - Mexico,"Software, industrial","Software, estate agency and property management"
H3 Consulting S. de R.L. de C.V.,tel:+52 81 4170 8241,Monterrey - Mexico,Information technology (IT) auditing and consulting services,Information technology (IT) engineering
"AJNA, ASESORIA EN PROCESOS DE CODIFICACION Y ETIQUETADO S.A. DE C.V.",tel:+52 4461390903,Queretaro - Mexico,Offset printing presses,"Printing presses, offset, LED-UV drying system"
Bashari Boutiques S.A. de C.V.,tel:+52 56 1908 0883,Iztacalco - Mexico,"Souvenirs, non-promotional giftware and novelties","Giftware, wooden, hand-crafted"
Abarrotodo Institucional S de RL MI,tel:+52 6142338092,Chihuahua - Mexico,"Food, dehydrated and freeze-dried",Milk drink powders
"Administradora de Sintra Consultora y Asociados, S.C.",tel:+52 76910064,Azcapotzalco - Mexico,Business management consultants,Industrial safety and accident prevention consultants
D4net Infra Sistema S. de R.L. de C.V.,tel:+52 55 9127 5822,Ciudad de méxico - Mexico,Optical glass fibre products,Optical fibres
Comercio Integral y Logistica CAV,tel:+52 5616044028,Ecatepec de morelos - Mexico,Logistics and procurement services,
"Café Internacional de Córdoba, S.A. de C.V., CAFINCO",tel:+52 271 714 8484,Córdoba - Mexico,Beverage plants and crops,Coffee plantation products
Skytex México S.A de C.V.,tel:+52 50 81 8940,Miguel hidalgo - Mexico,"Fabrics, man-made fibres","Fabrics, polyester"
Forterack,tel:+52 3338096624,Zapopan - Mexico,Mechanical handling engineering consultants,Storage and warehousing consultants
Centro Carrocero Especializado,tel:+52 4611109815,Celaya - Mexico,Motor vehicle chassis,Truck/lorry chassis
Innova Secure,tel:+52 5545066549,Estado de méxico - Mexico,"Software, computer security",Industrial safety and accident prevention consultants
Grupo Blogger Office,tel:+52 5532956162,Providencia - Mexico,"Software, database and information management","Software, database"
Multilimpia,tel:+52 9991217143,Mérida - Mexico,Cleaning products and detergents,"Cleaning products, biodegradable"
AKOPET INDUSTRIES SA DE CV,tel:+52 5536267540,Benito juárez - Mexico,Injection moulding machinery and equipment for plastics,"Injection moulding machines, plunger, for plastics"
Moliere 394,tel:+52 9994535490,Mérida - Mexico,Restaurants and bars,Restaurants
TecnologÍa en Ortesis y Protesis S. de R.L. de C.V.,tel:+52 1 449 914 55 66,Aguascalientes - Mexico,"Prostheses, medical","Prostheses, plastic"
BRYAN SEGURIDAD Y HERRAMIENTAS,tel:+51 993 351 2378,Tabasco - Mexico,"Footwear, professional and safety use",Safety boots and shoes with protective toecaps
Francisco Javier Leon Santibañez,tel:+52 7225727481,Toluca - Mexico,Advertisement and artwork services,Web graphic design services
Grupo ORS,tel:+52 4433152610,Morelia - Mexico,Electric connectors,"Connectors, electrical, intrinsically safe"
Factura Inteligente MX,tel:+52 5541074727,Tlalpan - Mexico,Enterprise application software (EAS),"Software, costing"
HILA IDEAS,tel:+52 9981856556,Benito juarez - Mexico,"Workwear and uniforms, by occupation",Uniforms and workwear to customer specification
Black Ring Business S.A.S,tel:+52 3310157583,Tlaquepaque - Mexico,Advertisement and artwork services,Web graphic design services
Transportes Rendón,tel:+52 4426843465,Santiago de querétaro - Mexico,Road transport services classified by type of freight,"Road transport services, small parcel"
Dr Héctor Garza,tel:+52 8672005501,Nuevo laredo - Mexico,Hospitals and clinics,Dental hospitals
Servicios Integrales LT,tel:+52 6142476123,Chihuahua - Mexico,Cardboard packagings,"Partitions, solid fibreboard, for packing cases"
"JAH International Agente de Seguros y Fianzas S.A. de C.V., JAH INSURANCE BROKERS CORP",tel:+52 55 2121 2667,Ciudad de méxico - Mexico,General insurance companies,"Insurance, export credit"
Mexin Industrial S. de R.L. de C.V.,tel:+52 15058011,General escobedo - Mexico,"Steel castings and parts, by use","Steel castings, machined to customer specification"
Aries Pro Ingeniería Urbana S. C.,tel:+52 64138270,Nuevo coyoacán - Mexico,Topography and surveying instruments,"Geological, geotechnical, geochemical engineering consultants"
Pop Fm S.A. de C.V.,tel:+52 5559263867,Ciudad de méxico - Mexico,Radio transmitters,Radio and television operators
EnviamosTusCompras,tel:+52 4423270460,Santiago de querétaro - Mexico,Mailing and postal machinery and equipment,Pigeon-holes for mail
Luis Alberto Partida de la Cruz,tel:+52 3311405451,Guadalajara - Mexico,Advertisement and artwork services,
DR ENC S.A. DE C.V.,tel:+52 4424143751,Santiago de querétaro - Mexico,"Sheets and strips, steel, cold rolled","Steel sheet and plates, stamped and embossed"
Macotom,tel:+52 33686762,Zapopan - Mexico,Marketing and merchandising consultants,Marketing strategy consultants
Quimicos y Papeles del Norte S.A. de C.V.,tel:+52 81 8125 5300,Monterrey - Mexico,"Soap, cleaning products and detergents, organic","Cleaning products and detergents, organic"
Innova Welding®,tel:+52 4444452354,San luis potosí - Mexico,"Welding electrodes, rods and wire, metal, by use",Welding electrode tips for robotic machines
Dinámicas Empresariales,tel:+52 5568423002,Ciudad de méxico - Mexico,"Training courses, management and human resources","Training courses, human resources (HR) management"
"Iqfresh Transport, S.A. DE C.V.",tel:+52 4645796658,Salamanca - Mexico,Logistics services,Fulfilment houses/services
"Geo Logistica Digital, S. de R.L. de C.V.",tel:+52 13322507369,Guadalajara - Mexico,Logistics and procurement services,Reverse logistics services
"Cynergy Power Generation, S.A. de C.V., CYNERGY POWER GENERATION",tel:+52 449 3927453,Aguascalientes - Mexico,Electric generators,Electrical installation contractors
"Cabosaferide, S.A.S. de C.V.",tel:+52 6441677439,San josé del cabo - Mexico,Passenger cars,"Motor cars, four-wheel drive"
GCL Mexicana,tel:+52 3315841028,Guadalajara - Mexico,"Pipes, tubes, ducts and hoses, plastic","Tubing, polypropylene (PP)"
Protección y Vigilancia Malca,tel:+52 15942651,Monterrey - Mexico,Logistics services,Fulfilment houses/services
"SearchEngineOp Diseño Web, SEOpMX",tel:+52 9992508058,Mérida - Mexico,Advertisement and artwork services,Marketing and merchandising consultants
Digital OHM Básculas Industriales,tel:+52 76457760,Colonia nezahualcóyotl - Mexico,Calibration services,
"Cun Trans, S.A. de C.V.",tel:+52 8487200,Cancún - Mexico,Airport services,Airport transport services
SELIP,tel:+52 3326606681,Tonalá - Mexico,Cleaning products and detergents,"Industrial cleaning services, by type of premises and equipment"
MCAT Movimiento y Control del Aire Toluca,tel:+52 2075140,Toluca - Mexico,"Motor vehicle ventilation, heating and air conditioning (HVAC) systems",Filters for motor vehicle ventilation and air conditioning systems
"Servicios Logisticos de Proteccion, S.A. de C.V.",tel:+52 6564979610,Ciudad juárez - Mexico,Security consultants and services,Events security and surveillance
"Enercon Industrial S.A. de CV, ENERCON INDUSTRIAL",tel:+52 8183414128,Guadalupe - Mexico,"Mineral fibre products, NES","Insulating materials, thermal, microporous, mineral fibre"
"IIHM Consultores Industriales, IIHM (Instituto de Investigación Humana de Monterrey, S.C)",tel:+52 8118784713,Monterrey - Mexico,Human resources (HR) consultants,Occupational psychology consultants
ROBOTATCH S.A.S DE C.V.,tel:+52 8129498168,Guadalupe - Mexico,Installation and maintenance services for the electronics industry,Repair and maintenance services for electronic equipment
"Arquitectura Inmobiliaria e Ingeniería Rosma, CONSTRUCTORA ROSMA (MARTIN RODRIGUEZ)",tel:+52 5563056071,Nuevo coyoacán - Mexico,Building contractors,"Building contractors, sustainable ecologically friendly construction materials"
Control y Seguridad Online,tel:+52 3318042424,Guadalajara - Mexico,"Access control, security and surveillance systems","Security and surveillance systems, electromagnetic"
Firm Grass (Venta e Instalación de Césped Artificial),tel:+52 777 375 6254,Cuernavaca - Mexico,Sports complex and sports ground construction and maintenance contractors,Squash court construction contractors
Probrandprint,tel:+52 4446849127,San luis potosí - Mexico,Screen printing,Screen printing services on plastic
"Bemark Construcciones, S.A. DE C.V., BEMARK",tel:+52 3322161709,Zapopan - Mexico,Transport infrastructure engineering contractors,Bridge and viaduct contractors
"Ingeniería y Logística de Almacenes, S.A. de C.V., Racks Ila",tel:+52 5526281149,Tlalnepantla - Mexico,Industrial stacking and shelving,"Storage units and racks, industrial, to customer specification"
Farenhom,tel:+52 81 3427 6548,Monterrey - Mexico,Air conditioners,"Air conditioners, roof top"
Envases Agrícolas e Industriales SA de CV,tel:+52 7226311138,Santiago tianguistenco - Mexico,Preservation and packaging services for agricultural products,
"Lápidas y Monumentos Monterrey, Lapidas y Monumentos Monterrey (Lapidas y Monumentos Monterrey)",tel:+52 8113129622,Monterrey - Mexico,Marble and travertine,Marble
"Zeolita Nacional Mexicana, ZEOMEX",tel:+52 8117826875,San pedro garza garcia - Mexico,"Minerals, miscellaneous",Gallium ores and minerals
Serrawat S.A.S. de C.V.,tel:+52 5587585608,Ciudad de méxico - Mexico,"Non-ferrous metal wires, by use",Non-ferrous metal wire for electric resistances
