Product Code,Product Label,"UAE export to libya Value in 2022, USD thousands","nnual growth in value uae export to libya between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"libya import from world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported libya to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"CO2 emission, Tons ","Uae export to world Value in 2022, USD thousand ","Annual growth in value between Uae export to world  2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
20450,"Fresh, chilled or frozen meat of goats", , , ,0, , , ,,38, ,0,8, ,"4,750",N/A, , , ,"15,766", ,"5,326",
20610,Fresh or chilled edible offal of bovine animals, , , , , , , ,, , , , , , ,N/A,87, ,0,134, ,"4,500",
20622,Frozen edible bovine livers, , , ,0, , , ,,579,19,0,291, ,"1,990",N/A,96,26,0,"1,767", ,"1,339",
20629,Frozen edible bovine offal (excl. tongues and livers), , , , , , , ,, , , , , , ,N/A,"3,829", ,0,"3,983", ,"1,993",
20649,"Edible offal of swine, frozen (excl. livers)", , , , , , , ,, , , , , , ,N/A,338, ,0,"2,768", ,"1,238",
20711,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces", , , ,0, , , ,,1,-62,0,0, , ,N/A, , , ,180, ,"4,722",
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces", , , ,0, , , ,,"97,861",8,3,"54,044", ,"1,811",N/A,176,-18,0,"277,686", ,"1,869","22,090"
20713,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus, , , ,0, , , ,,18,-55,0,29, ,621,N/A, , , ,260, ,"6,485",6
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus, , , ,0, , , ,,"101,821",17,1,"49,528", ,"2,056",N/A,"5,052",-7,0,"265,336", ,"2,103","7,125"
20725,"Frozen turkeys of the species domesticus, not cut into pieces", , , , , , , ,, , , , , , ,N/A,91,-6,0,391, ,"2,703",
20726,Fresh or chilled cuts and edible offal of turkeys of the species domesticus, , , , , , , ,, , , , , , ,N/A,6, ,0,47, ,"4,468",
20727,Frozen cuts and edible offal of turkeys of the species domesticus, , , ,0, , , ,,2,-37,0,0, , ,N/A,261,-6,0,"2,351", ,"2,595",1
20741,"Fresh or chilled domestic ducks, not cut in pieces", , , , , , , ,,1, ,0,0, , ,N/A, , , ,0, , ,
20742,"Frozen domestic ducks, not cut in pieces", , , , , , , ,,2, ,0,0, , ,N/A,3,-60,0,"1,140", ,"2,847",
20745,Frozen cuts and edible offal of domestic ducks, , , , , , , ,, , , , , , ,N/A,11,-42,0,292, ,"4,688",
20753,"Fatty livers of domestic geese, fresh or chilled", , , , , , , ,, , , , , , ,N/A,1, ,0, , , ,
20890,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals . . .", , , ,0, , , ,,2, ,0,0, , ,N/A,92,15,0,41, ,"12,902",
21012,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked", , , , , , , ,, , , , , , ,N/A,8, ,0,289, ,"4,920",
21020,"Meat of bovine animals, salted, in brine, dried or smoked", , , ,0, , , ,,14,-16,0,1, ,"14,000",N/A,"8,338",205,3,158, ,"12,500",
21099,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat . . .", , , , , , , ,, , , , , , ,N/A,117,-15,0,388, ,"2,804",
30111,Live ornamental freshwater fish, , , , , , , ,, , , , , , ,N/A,15, ,0,0, , ,
30119,Live ornamental fish (excl. freshwater), , , , , , , ,, , , , , , ,N/A,2,-42,0,0, , ,
30199,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,0, , , ,,1,-45,0,0, , ,N/A,9, ,0,0, , ,
30211,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .", , , ,0, , , ,,10, ,0,2, ,"5,000",N/A,2,94,0,163, ,"10,712",
30213,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, . . .", , , , , , , ,, , , , , , ,N/A,15,-25,0,1, ,"20,000",
30214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""", , , , , , , ,, , , , , , ,N/A,51,8,0,"7,261", ,"8,951",
30219,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,0, , , ,,1, ,0,0, , ,N/A,200,2,0,159, ,"4,686",
30221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut . . .", , , , , , , ,, , , , , , ,N/A,4,26,0,2, ,"20,500",
30229,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .", , , ,0, , , ,,18,43,0,2, ,"9,000",N/A, , , ,98, ,"7,102",
30231,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga""", , , , , , , ,, , , , , , ,N/A,2,-21,0,2, ,"24,500",
30232,"Fresh or chilled yellowfin tunas ""Thunnus albacares""", , , , , , , ,, , , , , , ,N/A,2,-50,0,159, ,"5,176",
30239,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus . . .", , , , , , , ,, , , , , , ,N/A,5,-24,0,3, ,"5,333",
30243,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", . . .", , , , , , , ,, , , , , , ,N/A,1, ,0,0, , ,
30244,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""", , , , , , , ,, , , , , , ,N/A,4,-24,0,7, ,"5,857",
30249,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, . . .", , , , , , , ,, , , , , , ,N/A,3,-5,0,174, ,"6,678",
30255,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""", , , , , , , ,, , , , , , ,N/A,11, ,0, , , ,
30271,"Fresh or chilled tilapia ""Oreochromis spp.""", , , , , , , ,,117,46,0,20, ,"5,850",N/A, , , ,"1,269", ,"5,980",
30279,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""", , , , , , , ,, , , , , , ,N/A,30,37,0,72, ,"16,639",
30281,Fresh or chilled dogfish and other sharks, , , , , , , ,, , , , , , ,N/A,1, ,0,0, , ,
30284,"Fresh or chilled sea bass ""Dicentrarchus spp.""", , , , , , , ,,2, ,0,0, , ,N/A,15, ,0,"2,337", ,"7,185",
30289,"Fresh or chilled fish, n.e.s.", , , , , , , ,, , , , , , ,N/A,56,-16,0,"1,826", ,"5,321",
30299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, . . .", , , , , , , ,, , , , , , ,N/A,1,-48,0,4, ,"1,750",
30312,"Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")", , , , , , , ,, , , , , , ,N/A,163,7,0,0, , ,
30313,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""", , , , , , , ,, , , , , , ,N/A,274,52,0,"2,758", ,"7,992",
30314,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, . . .", , , , , , , ,,35,77,0,5, ,"7,000",N/A, , , ,0, , ,
30319,"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)", , , ,0, , , ,,7,-4,0,9, ,778,N/A,778,-8,1,64, ,"5,391",
30323,"Frozen tilapia ""Oreochromis spp.""", , , , , , , ,,208, ,0,75, ,"2,773",N/A,316,272,0,"2,307", ,"1,206",
30324,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , , , , , , ,, , , , , , ,N/A,2, ,0,"1,030", ,"1,561",
30325,"Frozen carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., . . .", , , , , , , ,,2, ,0,3, ,667,N/A, , , ,"3,820", ,"1,495",
30329,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)", , , , , , , ,, , , , , , ,N/A,10,-45,0,62, ,"3,161",
30331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus . . .", , , , , , , ,, , , , , , ,N/A,8, ,0,0, , ,
30333,"Frozen sole ""Solea spp.""", , , , , , , ,, , , , , , ,N/A,80, ,0,7, ,"6,000",
30339,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" . . .", , , , , , , ,, , , , , , ,N/A,1,69,0,386, ,"2,119",
30341,"Frozen albacore or longfinned tunas ""Thunnus alalunga""", , , , , , , ,, , , , , , ,N/A,16,21,0, , , ,
30342,"Frozen yellowfin tunas ""Thunnus albacares""", , , ,0, , , ,,237,119,0,96, ,"2,469",N/A,90,33,0,1, ,"22,000",
30343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""", , , , , , , ,, , , , , , ,N/A,13, ,0,313, ,"1,300",
30349,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, . . .", , , , , , , ,, , , , , , ,N/A,42,-40,0,446, ,"2,726",
30351,"Frozen herrings ""Clupea harengus, Clupea pallasii""", , , , , , , ,,1, ,0,1, ,"1,000",N/A,51,-47,0,47, ,"1,255",
30353,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling . . .", , , , , , , ,,4, ,0,3, ,"1,333",N/A,497,43,0,485, ,"1,767",
30354,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""", , , , , , , ,,206,33,0,108, ,"1,907",N/A,186,18,0,748, ,"2,040",6
30355,"Frozen jack and horse mackerel ""Trachurus spp.""", , , , , , , ,,2, ,0,2, ,"1,000",N/A,588,132,0,157, ,"1,510",
30359,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus . . .", , , , , , , ,,131,-7,0,101, ,"1,297",N/A,"1,601",198,0,"1,144", ,"3,847",
30363,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""", , , , , , , ,, , , , , , ,N/A,2,-42,0,263, ,"4,871",
30364,"Frozen haddock ""Melanogrammus aeglefinus""", , , , , , , ,, , , , , , ,N/A,29, ,0, , , ,
30365,"Frozen coalfish ""Pollachius virens""", , , , , , , ,, , , , , , ,N/A,10, ,0, , , ,
30366,"Frozen hake ""Merluccius spp., Urophycis spp.""", , , , , , , ,,4, ,0,1, ,"4,000",N/A,14, ,0,144, ,"1,250",
30368,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""", , , , , , , ,, , , , , , ,N/A,125,3,0,472, ,888,
30369,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, . . .", , , , , , , ,, , , , , , ,N/A,223,11,0,98, ,"1,184",
30381,Frozen dogfish and other sharks, , , , , , , ,,117,27,0,49, ,"2,388",N/A,41, ,0, , , ,
30382,"Frozen rays and skates ""Rajidae""", , , , , , , ,, , , , , , ,N/A,126,484,0,15, ,"2,200",
30383,"Frozen toothfish ""Dissostichus spp.""", , , , , , , ,, , , , , , ,N/A,7, ,0,83, ,"11,217",
30384,"Frozen sea bass ""Dicentrarchus spp.""", , , , , , , ,,164,-40,0,34, ,"4,824",N/A,152,17,0,40, ,"13,200",3
30389,"Frozen fish, n.e.s.", , , , , , , ,,"5,330",-6,0,"2,138", ,"2,493",N/A,"5,400",2,0,"19,234", ,"1,525",
30399,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt . . .", , , , , , , ,,49,29,0,26,Tons,"1,885",N/A,79,-24,0,1,Tons,"29,000",
30431,"Fresh or chilled fillets of tilapia ""Oreochromis spp.""", , , , , , , ,, , , , , , ,N/A,33,78,0,41, ,"7,390",
30432,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus . . .", , , , , , , ,, , , , , , ,N/A,1,4,0,2, ,"5,000",
30433,"Fresh or chilled fillets of Nile perch ""Lates niloticus""", , , , , , , ,, , , , , , ,N/A,22,-8,0,55, ,"5,327",
30439,"Fresh or chilled fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, . . .", , , , , , , ,, , , , , , ,N/A,30,156,0,1, ,"5,000",
30441,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus . . .", , , , , , , ,, , , , , , ,N/A,5,-44,0,170, ,"12,747",
30442,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , , , , , ,, , , , , , ,N/A,66, ,0,11, ,"10,182",
30445,"Fresh or chilled fillets of swordfish ""Xiphias gladius""", , , , , , , ,, , , , , , ,N/A,3,195,0, , , ,
30446,"Fresh or chilled fillets of toothfish ""Dissostichus spp.""", , , , , , , ,, , , , , , ,N/A,22,85,0, , , ,
30447,Fresh or chilled fillets of dogfish and other sharks, , , , , , , ,, , , , , , ,N/A,4,215,0, , , ,
30449,"Fresh or chilled fillets of fish, n.e.s.", , , , , , , ,,12,-16,0,10, ,"1,200",N/A,238,-8,0,76, ,"26,118",
30452,"Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)", , , , , , , ,, , , , , , ,N/A,19, ,0,1, ,"12,000",
30454,"Fresh or chilled meat, whether or not minced, of swordfish ""Xiphias gladius"" (excl. fillets)", , , , , , , ,, , , , , , ,N/A,2, ,0, , , ,
30459,"Fresh or chilled fish meat, whether or not minced (excl. all fillets, tilapias, catfish, carp, . . .", , , , , , , ,, , , , , , ,N/A,17,-2,0,1, ,"56,000",
30461,"Frozen fillets of tilapia ""Oreochromis spp.""", , , , , , , ,,320, ,0,85, ,"3,765",N/A,13,71,0,15, ,"2,467",
30462,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , , , , , , ,,8, ,0,1, ,"8,000",N/A,851,43,0,71, ,"1,141",
30463,"Frozen fillets of Nile perch ""Lates niloticus""", , , , , , , ,, , , , , , ,N/A,140,10,0,640, ,"6,164",
30471,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""", , , , , , , ,,5,39,0,1, ,"5,000",N/A,"1,079",68,0,66, ,"10,121",
30472,"Frozen fillets of haddock ""Melanogrammus aeglefinus""", , , , , , , ,,5, ,0,0, , ,N/A,2, ,0,1, ,"11,000",
30473,"Frozen fillets of coalfish ""Pollachius virens""", , , , , , , ,,1, ,0,0, , ,N/A,7, ,0,0, , ,
30474,"Frozen fillets of hake ""Merluccius spp., Urophycis spp.""", , , , , , , ,,95,1,0,27, ,"3,519",N/A,7, ,0,3, ,"4,333",
30475,"Frozen fillets of Alaska pollack ""Theragra chalcogramma""", , , , , , , ,,2, ,0,0, , ,N/A,1, ,0,96, ,"3,219",
30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, . . .", , , , , , , ,, , , , , , ,N/A,111,366,0,5, ,"5,400",
30481,"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus . . .", , , , , , , ,,23, ,0,1, ,"23,000",N/A,474,7,0,499, ,"13,116",
30482,"Frozen fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .", , , , , , , ,,49, ,0,7, ,"7,000",N/A,16,25,0,5, ,"8,800",
30483,"Frozen fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .", , , , , , , ,,13,70,0,1, ,"13,000",N/A,65,293,0,59, ,"7,780",
30484,"Frozen fillets of swordfish ""Xiphias gladius""", , , , , , , ,,6, ,0,0, , ,N/A,5, ,0, , , ,
30487,"Frozen fillets of tuna ""of the genus Thunnus"", skipjack or stripe-bellied bonito ""Euthynnus . . .", , , , , , , ,,904,-17,0,189,Tons,"4,783",N/A,97,15,0,160,Tons,"13,656",
30489,"Frozen fish fillets, n.e.s.", , , , , , , ,,17,6,0,2, ,"8,500",N/A,"1,597",12,0,441, ,"8,422",
30491,"Frozen meat, whether or not minced, of swordfish ""Xiphias gladius"" (excl. fillets)", , , , , , , ,,2,-34,0,0, , ,N/A, , , , , , ,
30499,Frozen fish meat n.e.s. (excl. fillets), , , , , , , ,,1, ,0,0, , ,N/A,774,-22,0,338, ,"2,769",
30510,"Flours, meals and pellets of fish, fit for human consumption", , , , , , , ,, , , , , , ,N/A,31,45,0,8, ,"2,750",
30531,"Fillets, dried, salted or in brine, but not smoked, of tilapia ""Oreochromis spp."", catfish . . .", , , , , , , ,,81, ,1,0, , ,N/A, , , , , , ,
30539,"Fish fillets, dried, salted or in brine, but not smoked (excl. tilapia, catfish, carp, eels, . . .", , , , , , , ,, , , , , , ,N/A,39,0,0,2, ,"12,500",
30541,"Smoked Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus . . .", , , ,0, , , ,,16,157,0,1, ,"16,000",N/A,260,11,0,54, ,"20,759",
30543,"Smoked trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, . . .", , , , , , , ,, , , , , , ,N/A,3,29,0,2, ,"15,500",
30549,"Smoked fish, incl. fillets (excl. offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, . . .", , , , , , , ,, , , , , , ,N/A,243,-14,0,12, ,"10,833",
30551,"Dried cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus"", even salted, not smoked (excl. fillets . . .", , , ,0, , , ,,1, ,0,0, , ,N/A,1,124,0,0, , ,
30552,"Dried tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus . . .", , , , , , , ,, , , , , , ,N/A,239,-11,4, , , ,
30553,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, . . .", , , , , , , ,, , , , , , ,N/A,5,91,0,0, , ,
30554,"Dried herrings ""Clupea harengus, Clupea pallasii"", anchovies ""Engraulis spp."", sardines ""Sardina . . .", , , , , , , ,, , , , , , ,N/A,"22,518",5,21,7, ,"9,286",
30559,"Fish, dried, even salted but not smoked, n.e.s. (excl. fillets and offal)", , , , , , , ,, , , , , , ,N/A,256,-47,0,0, , ,
30569,"Fish, salted or in brine only (excl. fillets, offal, herring, cod, anchovies, tilapia, catfish, . . .", , , , , , , ,, , , , , , ,N/A,3,-23,0,89, ,"2,045",
30571,"Shark fins, smoked, dried, salted or in brine", , , , , , , ,, , , , , , ,N/A,562,-38,0, , , ,
30572,"Fish heads, tails and maws, smoked, dried, salted or in brine", , , , , , , ,, , , , , , ,N/A,"1,581",-34,0,1, ,"200,000",
30579,"Fish fins and other edible fish offal, smoked, dried, salted or in brine (excl. heads, tails, . . .", , , , , , , ,, , , , , , ,N/A,201,-27,0, , , ,
30611,"Frozen rock lobster and other sea crawfish ""Palinurus spp."", ""Panulirus spp."" and ""Jasus spp."", . . .", , , , , , , ,, , , , , , ,N/A,"15,837",27,2,100, ,"17,270",
30612,"Frozen lobsters ""Homarus spp."", even smoked, whether in shell or not, incl. lobsters in shell, . . .", , , ,0, , , ,,16,18,0,0, , ,N/A,"8,819",18,1,152, ,"26,776",2
30614,"Frozen crabs, even smoked, whether in shell or not, incl. crabs in shell, cooked by steaming . . .", , , ,0, , , ,,9,-5,0,0, , ,N/A,356,-14,0,464, ,"14,412",
30616,"Frozen cold-water shrimps and prawns ""Pandalus spp., Crangon crangon"", even smoked, whether . . .", , , , , , , ,, , , , , , ,N/A,"4,969",20,0,150, ,"5,040",
30617,"Frozen shrimps and prawns, even smoked, whether in shell or not, incl. shrimps and prawns in . . .", , , , , , , ,,"1,404",12,0,270,Tons,"5,200",N/A,"138,616",-2,1,"28,005",Tons,"6,464",
30619,"Frozen crustaceans, even smoked, fit for human consumption, whether in shell or not, incl. . . .", , , , , , , ,, , , , , , ,N/A,648,-2,1,91, ,"7,242",
30632,"Lobsters ""Homarus spp."", whether in shell or not, live, fresh or chilled", , , , , , , ,, , , , , , ,N/A,70,-27,0,293, ,"24,362",
30633,"Crabs, whether in shell or not, live, fresh or chilled", , , , , , , ,, , , , , , ,N/A,10,-29,0,147, ,"23,082",
30635,"Cold-water shrimps and prawns ""Pandalus spp., Crangon crangon"", whether in shell or not, live, . . .", , , , , , , ,, , , , , , ,N/A,1,-28,0,162, ,"10,722",
30636,"Shrimps and prawns, whether in shell or not, live, fresh or chilled (excl. cold-water shrimps . . .", , , , , , , ,, , , , , , ,N/A,229,9,0,"1,981", ,"6,488",
30639,"Crustaceans, fit for human consumption, whether in shell or not, live, fresh or chilled (excl. . . .", , , , , , , ,, , , , , , ,N/A,23,87,0,22, ,"6,955",
30693,"Crabs, whether in shell or not, dried, salted, smoked or in brine, incl. crabs in shell, cooked . . .", , , , , , , ,, , , , , , ,N/A,1,-43,0,0, , ,
30695,"Shrimps and prawns, whether in shell or not, dried, salted, smoked or in brine, incl. ones . . .", , , , , , , ,, , , , , , ,N/A,19,-33,0,290, ,"4,490",
30699,"Crustaceans, fit for human consumption, whether in shell or not, dried, salted, smoked or in . . .", , , , , , , ,, , , , , , ,N/A,7,-23,0,4, ,"6,000",
30711,"Oysters, even in shell, live, fresh or chilled", , , , , , , ,, , , , , , ,N/A,549,57,0,180, ,"11,439",
30712,"Oysters, even in shell, frozen", , , , , , , ,, , , , , , ,N/A,51,-21,0,2, ,"6,500",
30719,"Oysters, even in shell, smoked, dried, salted or in brine", , , , , , , ,, , , , , , ,N/A,20,-25,0,1, ,"40,000",
