,,United Arab Emiratess exports to Egypt,,,Egypt's imports from world,,,,United Arab Emiratess exports to world,,,
Product code,Product label,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022,,Value in 2020,Value in 2021,Value in 2022
844190,"Parts of machinery for making up paper pulp, paper or paperboard, n.e.s.",0,1,,,788,940,1753,,1454,1348,159
844313,"Offset printing machinery (excl. sheet fed offset printing machinery, sheet size <= 22 x 36 ...",0,199,,,9711,5996,5468,,2920,4789,1931
844317,Gravure printing machinery,0,0,,,3505,385,2972,,15,63,34
844399,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excl. of ...",28517,39446,,,37833,42198,36573,,469799,535411,28597
844512,Combing machines for preparing textile fibres,0,0,,,1258,6,4334,,0,0,1774
844630,"Weaving machines for weaving fabrics of a width > 30 cm, shuttleless type",0,0,,,12038,21856,9179,,5361,4156,3844
844819,"Auxiliary machinery for machines of heading 8444, 8445, 8446 or 8447 (excl. doobies and jacquards, ...",0,0,,,1487,1242,2138,,136,513,86
480257,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ...",143,0,,,80928,76008,58588,,30788,46406,12597
480439,"Kraft paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular ...",0,1,,,6989,5790,7724,,971,2870,947
481490,"Wallpaper and similar wallcoverings of paper, and window transparencies of paper (excl. wallcoverings ...",0,0,,,140,239,103,,1647,994,148
481820,"Handkerchiefs, cleansing or facial tissues and towels, of paper pulp, paper, cellulose wadding ...",5,2,,,120,108,17,,34989,37419,7846
481830,"Tablecloths and serviettes of paper pulp, paper, cellulose wadding or webs of cellulose fibres",0,0,,,154,224,55,,2770,3367,587
482010,"Registers, account books, notebooks, order books, receipt books, letter pads, memorandum pads, ...",53,80,,,1049,957,1294,,14430,18000,1409
482110,"Paper or paperboard labels of all kinds, printed",8421,4415,,,3484,3070,4060,,36361,43961,13631
722699,"Flat-rolled products of alloy steel other than stainless, of a width of < 600 mm, hot-rolled ...",0,0,,,1101,2223,1399,,283,288,32
730120,"Angles, shapes and sections, of iron or steel, welded",51,7,,,162,307,664,,13825,18595,4587
730721,Flanges of stainless steel (excl. cast products),125,93,,,2460,3706,2667,,10895,11152,2812
730792,"Threaded elbows, bends and sleeves, of stainless steel (excl. cast or stainless products)",205,461,,,1367,2070,2053,,10942,15812,2384
731210,"Stranded wire, ropes and cables, of iron or steel (excl. electrically insulated products and ...",943,1884,,,35204,32233,38183,,32818,42664,20767
731412,"Endless bands of stainless steel wire, for machinery",1,3,,,192,336,672,,519,1671,5
392079,"Plates, sheets, film, foil and strip, of non-cellular cellulose derivatives, not reinforced, ...",0,0,,,28,8,12,,44,106,4
392112,"Plates, sheets, film, foil and strip, of cellular polymers of vinyl chloride, unworked or merely ...",39,53,,,1660,3043,3247,,3927,5135,991
392329,"Sacks and bags, incl. cones, of plastics (excl. those of polymers of ethylene)",766,1069,,,10800,9709,8377,,19820,23164,9326
392590,"Building elements for the manufacture of floors, walls, partition walls, ceilings, roofs, etc., ...",98,130,,,25083,27162,17755,,18173,14138,6905
392620,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,59,155,,,4945,5150,2353,,12248,6513,1328
392630,"Fittings for furniture, coachwork and the like, of plastics (excl. building components for ...",19,21,,,20628,22722,8349,,13149,11703,2088
392690,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s (excl. ...",5038,6783,,,147097,121860,126074,,201644,308798,35494
400122,"Technically specified natural rubber ""TSNR""",0,0,,,22861,34578,35449,,157,165,
400219,"Styrene-butadiene rubber ""SBR""; carboxylated styrene-butadiene rubber ""XSBR"", in primary forms ...",0,10,,,20150,15196,13596,,4914,5570,3285
400231,"Isobutylene isoprene rubber ""IIR"", in primary forms or in plates, sheets or strip",0,0,,,92,101,390,,6066,2417,643
400251,"Latex of acrylonitrile-butadiene rubber ""NBR""",0,0,,,0,136,0,,84,21,23
400291,"Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip ...",0,0,,,3681,7480,2320,,155,516,3
400591,"Compounded rubber, unvulcanised, in the form of plates, sheets or strip (excl. rubber compounded ...",100,149,,,2060,5039,4201,,803,880,237
401012,"Conveyor belts or belting, of vulcanised rubber, reinforced only with textile materials",10,17,,,6464,6349,6552,,4606,3656,1226
401033,"Endless transmission belts of trapezoidal cross-section ""V-belts"", of vulcanised rubber, V-ribbed, ...",1,2,,,163,217,196,,1418,1519,14
401170,"New pneumatic tyres, of rubber, of a kind used on agricultural or forestry vehicles and machines",0,0,,,0,0,17017,,2882,5083,457
401190,"New pneumatic tyres, of rubber (excl. of a kind used on agricultural, forestry, construction, ...",115,162,,,0,0,713,,26380,27446,907
401220,Used pneumatic tyres of rubber,0,3,,,0,4,18,,68193,59081,7957
401320,"Inner tubes, of rubber, of a kind used for bicycles",0,0,,,2139,1152,824,,665,780,104
401390,"Inner tubes, of rubber (excl. those of a kind used on motor cars, incl. station wagons and ...",0,3,,,5960,7879,8965,,822,1646,170
401695,"Inflatable mattresses and cushions and other inflatable articles, of vulcanised rubber (excl. ...",1,0,,,540,965,1055,,1323,2504,168
410631,"Hides and skins of swine, in the wet state (incl. wet-blue), tanned, without wool on, whether ...",0,0,,,,,,,0,0,
410799,"Leather ""incl. parchment-dressed leather"" of the portions, strips or sheets of hides and skins ...",0,0,,,216,64,166,,11,44,25
411420,Patent leather and patent laminated leather; metallised leather (excl. lacquered or metallised ...,0,0,,,0,0,7,,12,20,15
411520,"Parings and other waste of leather or of composition leather, not suitable for the manufacture ...",0,0,,,,,,,0,0,6
420500,Articles of leather or composition leather (excl. saddlery and harness bags; cases and similar ...,8,10,,,577,45,101,,6677,7351,658
420600,"Articles of gut, goldbeater's skin, bladders or tendons (excl. silkworm gut, sterile catgut, ...",0,0,,,,,,,0,0,
440121,Coniferous wood in chips or particles (excl. those of a kind used principally for dyeing or ...,0,0,,,0,0,0,,762,688,1
440131,Wood pellets,0,0,,,0,0,0,,13,33,18
440323,"Fir ""Abies spp."" and spruce ""Picea spp."" in the rough, of which the smallest cross-sectional ...",0,0,,,,,,,224,488,
340311,Textile lubricant preparations and preparations of a kind used for the oil or grease treatment ...,0,0,,,976,1338,1409,,212,379,3110
340530,"Polishes and similar preparations for coachwork, whether or not in the form of paper, wadding, ...",5,31,,,1274,1207,632,,3510,5108,238
340600,"Candles, tapers and the like",371,1402,,,1041,1834,1297,,30062,38419,603
350300,"Gelatin, whether or not in square or rectangular sheets, whether or not surface-worked or coloured, ...",0,13,,,10407,7783,8744,,3627,1997,61
350520,"Glues based on starches, dextrins or other modified starches (excl. those put up for retail ...",0,0,,,725,997,366,,1216,1318,371
360100,Propellent powders,0,0,,,31,0,0,,0,0,
360490,"Signalling flares, rain rockets, fog signals and other pyrotechnic articles (excl. fireworks ...",0,0,,,13,0,70,,8,13,19
370500,"Photographic plates and film, exposed and developed (excl. products made of paper, paperboard ...",0,0,,,0,0,3,,4,8,91
380400,"Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or ...",41,185,,,12410,24999,22237,,4350,5237,207
381010,"Pickling preparations for metal surfaces; soldering, brazing or welding pastes and powders ...",7,210,,,3806,2819,3306,,2071,2621,739
381220,"Compound plasticisers for rubber or plastics, n.e.s.",0,2,,,2733,4474,8087,,26823,28701,6018
381512,"Supported catalysts with precious metal or a precious-metal compound as the active substance, ...",1,7,,,1607,6016,1331,,19780,2355,42
381600,"Refractory cements, mortars, concretes and similar compositions, incl. dolomite ramming mix ...",112,376,,,30196,33089,43714,,9081,18255,8340
382312,"Oleic acid, industrial",0,1,,,218,468,487,,509,506,554
382483,"Mixtures and preparations containing tris""2,3-dibromopropyl"" phosphate",0,0,,,31706,22055,30435,,0,0,1
551421,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",0,0,,,58,129,9,,93,12,6
551441,"Plain woven fabrics containing predominantly, but < 85% polyester staple fibres by weight, ...",0,0,,,31,0,0,,0,125,22
551611,"Woven fabrics containing >= 85% artificial staple fibres by weight, unbleached or bleached",0,0,,,674,302,55,,888,419,1
551614,"Woven fabrics containing >= 85% artificial staple fibres by weight, printed",0,14,,,6968,8804,7639,,15242,23220,77
551631,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,,,0,0,0,,3,0,
551641,"Woven fabrics containing predominantly, but < 85% artificial staple fibres by weight, mixed ...",0,0,,,11,0,12,,0,26,
560290,"Felt, impregnated, coated, covered or laminated (excl. needleloom felt and stitch-bonded fibre ...",0,0,,,1231,1560,1861,,34,107,53
560312,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of man-made filaments, ...",2938,1886,,,17740,18801,13185,,17821,4822,1109
560741,"Binder or baler twine, of polyethylene or polypropylene",0,0,,,506,325,610,,1026,1638,111
560890,"Knotted netting of twine, cordage, ropes or cables, by the piece or metre; made-up fishing ...",0,0,,,195,241,50,,1253,604,53
570250,"Carpets and other textile floor coverings, woven, not tufted or flocked, not of pile construction, ...",0,0,,,0,5,0,,682,414,101
570299,"Carpets and other floor coverings, of vegetable textile materials or coarse animal hair, woven, ...",5,16,,,124,74,125,,2525,2847,350
570500,"Carpets and other textile floor coverings, whether or not made up (excl. knotted, woven or ...",2,13,,,57750,53540,5920,,4324,2844,4596
580132,"Cut corduroy, of man-made fibres (excl. terry towelling and similar woven terry fabrics, tufted ...",0,0,,,0,0,0,,1173,5272,1
580640,"Narrow fabrics consisting of warp without weft assembled by means of an adhesive ""bolducs"", ...",0,0,,,341,249,650,,161,628,764
581099,"Embroidery of materials other than cotton or man-made fibres, on a textile fabric base, in ...",0,0,,,2120,1495,742,,1262,660,107
590310,"Textile fabrics impregnated, coated, covered or laminated with poly""vinyl chloride"" (excl. ...",0,0,,,706,1149,902,,3818,4804,375
590390,"Textile fabrics impregnated, coated, covered or laminated with plastics other than poly""vinyl ...",131,0,,,16761,16402,18131,,2564,5983,505
590490,"Floor coverings consisting of a coating or covering applied on a textile backing, whether or ...",0,0,,,0,1,14,,2,107,158
590700,"Impregnated, coated or covered textile fabrics; painted canvas being theatrical scenery, studio ...",8,0,,,495,1046,533,,5323,9633,8680
400610,"'Camel-back' strips of unvulcanised rubber, for retreading rubber tyres",0,4,,,13,42,122,,237,455,11
400821,"Plates, sheets and strip, of non-cellular rubber",41,3,,,5139,5232,5360,,4808,8916,6201
30488,"Frozen fillets of dogfish, other sharks, rays and skates ""Rajidae""",0,0,,,,,,,0,15,
30493,"Frozen meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., ...",0,0,,,0,0,0,,945,1579,
30531,"Fillets, dried, salted or in brine, but not smoked, of tilapia ""Oreochromis spp."", catfish ...",0,0,,,0,0,0,,0,0,
30552,"Dried tilapia ""Oreochromis spp."", catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus ...",0,0,,,,,,,0,0,239
30553,"Dried fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, ...",0,0,,,,,,,0,0,5
30569,"Fish, salted or in brine only (excl. fillets, offal, herring, cod, anchovies, tilapia, catfish, ...",0,0,,,0,0,0,,0,8,8
30612,"Frozen lobsters ""Homarus spp."", even smoked, whether in shell or not, incl. lobsters in shell, ...",0,373,,,616,1135,1109,,10478,9557,9680
30615,"Frozen Norway lobsters ""Nephrops norvegicus"", even smoked, whether in shell or not, incl. lobsters ...",0,0,,,,,,,11,21,2
30632,"Lobsters ""Homarus spp."", whether in shell or not, live, fresh or chilled",0,0,,,0,0,99,,290,344,71
30639,"Crustaceans, fit for human consumption, whether in shell or not, live, fresh or chilled (excl. ...",0,0,,,,,,,0,0,24
30691,"Rock lobster and other sea crawfish ""Palinurus spp., Panulirus spp. and Jasus spp."", whether ...",0,0,,,,,,,11,0,
10239,Live buffalo (excl. pure-bred for breeding),0,0,,,,,,,293,0,
10599,"Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g",0,0,,,0,0,0,,0,0,
10612,"Live whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals ...",0,0,,,0,0,113,,0,0,1
10690,"Live animals (excl. mammals, reptiles, birds, insects, fish, crustaceans, molluscs and other ...",0,2,,,59,286,30,,29,67,13
20329,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, ...",0,0,,,417,330,478,,701,1043,167
20630,Fresh or chilled edible offal of swine,0,0,,,,,,,3,2,
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,0,35,,,134,0,3665,,99222,97570,6358
20736,"Frozen cuts and edible offal of ducks, geese or guinea fowls of the species domesticus",0,0,,,,,,,0,0,1
20753,"Fatty livers of domestic geese, fresh or chilled",0,0,,,,,,,13,0,1
20860,"Fresh, chilled or frozen meat and edible offal of camels and other camelids [Camelidae]",0,0,,,,,,,641,201,
21020,"Meat of bovine animals, salted, in brine, dried or smoked",0,0,,,0,385,0,,540,1158,8346
30192,"Live eels ""Anguilla spp.""",0,0,,,4,39,228,,0,0,
30229,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae ...",0,0,,,13,0,0,,125,117,
30233,Fresh or chilled skipjack or stripe-bellied bonito,0,0,,,,,,,0,1,
30234,"Fresh or chilled bigeye tunas ""Thunnus obesus""",0,0,,,,,,,34,0,
30241,"Fresh or chilled herring ""Clupea harengus, clupea pallasii""",0,0,,,25,0,0,,3,2,
30255,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""",0,0,,,,,,,238,187,11
30323,"Frozen tilapia ""Oreochromis spp.""",0,0,,,0,0,0,,757,3358,316
30332,"Frozen plaice ""Pleuronectes platessa""",0,0,,,,,,,4,7,
30353,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling ...",0,0,,,10519,10207,11610,,84,121,497
30356,"Frozen cobia ""Rachycentron canadum""",0,0,,,,,,,5,0,
30369,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, ...",0,0,,,73182,70110,66366,,262,158,224
30381,Frozen dogfish and other sharks,0,0,,,,,,,0,0,41
30382,"Frozen rays and skates ""Rajidae""",0,0,,,,,,,0,0,126
30445,"Fresh or chilled fillets of swordfish ""Xiphias gladius""",0,0,,,,,,,0,0,3
30448,"Fresh or chilled fillets of rays and skates ""Rajidae""",0,0,,,,,,,0,0,
30449,"Fresh or chilled fillets of fish, n.e.s.",0,0,,,5,100,306,,479,421,242
30452,"Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)",0,0,,,,,,,86,135,20
30453,"Fresh or chilled meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, ...",0,0,,,,,,,0,14,
30742,"Cuttle fish and squid, live, fresh or chilled, with or without shell",0,0,,,0,0,8793,,2,94,747
30784,"Frozen, even in shell, stromboid conchs ""Strombus spp.""",0,0,,,,,,,0,0,8
30799,"Molluscs, even in shell, smoked, dried, salted or in brine (excl. oysters, scallops of the ...",0,0,,,289,0,0,,82,43,28
40130,"Milk and cream of a fat content by weight of > 6%, not concentrated nor containing added sugar ...",0,0,,,,,,,0,0,2
40229,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, sweetened",0,0,,,1547,608,7364,,3811,7884,10616
40320,"Yogurt, whether or not flavoured or containing added sugar or other sweetening matter, fruit, ...",0,0,,,0,0,0,,0,0,1065
40640,"Blue-veined cheese and other cheese containing veins produced by ""Penicillium roqueforti""",0,0,,,5085,6715,3635,,1,63,20
40899,"Birds' eggs, not in shell, fresh, cooked by steaming or boiling in water, moulded, frozen or ...",0,0,,,676,378,0,,2366,1729,364
50100,"Human hair, unworked, whether or not washed or scoured; waste of human hair",0,0,,,0,0,0,,76,0,39
50690,"Bones and horn-cores and their powder and waste, unworked, defatted, degelatinised or simply ...",0,0,,,0,0,12,,1,0,
60220,"Edible fruit or nut trees, shrubs and bushes, whether or not grafted",8280,9487,,,95,138,243,,16663,18396,2330
60240,"Roses, whether or not grafted",0,3,,,154,31,0,,55,112,
70310,Fresh or chilled onions and shallots,8,1,,,19,0,299,,36872,21146,1101
70490,"Fresh or chilled cabbages, kohlrabi, kale and similar edible brassicas (excl. cauliflowers, ...",0,4,,,0,0,4,,515,710,66
70700,"Cucumbers and gherkins, fresh or chilled",0,2,,,0,9,0,,301,271,111
70890,"Fresh or chilled leguminous vegetables, shelled or unshelled (excl. peas ""Pisum sativum"" and ...",0,0,,,0,0,3,,1446,2222,97
70959,"Fresh or chilled edible mushrooms and truffles (excl. Agaricus, Boletus, Cantharellus, shiitake, ...",0,1,,,40,4,0,,194,173,53
71010,"Potatoes, uncooked or cooked by steaming or by boiling in water, frozen",0,0,,,0,8,0,,1334,1823,334
220299,"Non-alcoholic beverages (excl. water, fruit or vegetable juices, milk and beer)",8389,192,,,0,0,2361,,100276,35198,11349
220421,"Wine of fresh grapes, incl. fortified wines, and grape must whose fermentation has been arrested ...",13,20,,,12,10,3,,57756,62502,2964
220600,"Cider, perry, mead, saké and other fermented beverages and mixtures of fermented beverages ...",0,0,,,0,0,5,,359,1181,269
30461,"Frozen fillets of tilapia ""Oreochromis spp.""",0,0,,,,,,,62,44,13
30469,"Frozen fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys ...",0,0,,,,,,,120,47,7
30473,"Frozen fillets of coalfish ""Pollachius virens""",0,0,,,,,,,0,0,7
151190,"Palm oil and its fractions, whether or not refined (excl. chemically modified and crude)",0,27,,,731074,956576,1126044,,70732,162100,37216
151329,"Palm kernel and babassu oil and their fractions, whether or not refined, but not chemically ...",0,0,,,12802,34817,16198,,11,488,1084
151710,Margarine (excl. liquid),0,0,,,389,351,834,,17579,24193,2548
160290,"Prepared or preserved meat, offal, blood or insects (excl. meat or offal of poultry, swine ...",0,0,,,3,0,0,,94077,89484,4842
160553,"Mussels, prepared or preserved (excl. smoked)",0,40,,,0,81,0,,17,115,
160556,"Clams, cockles and arkshells, prepared or preserved (excl. smoked)",0,0,,,,,,,34,46,1
160569,"Aquatic invertebrates, prepared or preserved (excl. smoked, crustaceans, molluscs, sea cucumbers, ...",0,0,,,67,29,0,,429,387,160
170191,"Refined cane or beet sugar, containing added flavouring or colouring, in solid form",0,0,,,226,247,227,,5923,1501,102
170260,"Fructose in solid form and fructose syrup, not containing added flavouring or colouring matter ...",0,0,,,247,172,58,,198,152,1181
170310,Cane molasses resulting from the extraction or refining of sugar,0,0,,,912,0,4584,,3978,6171,1502
180310,Cocoa paste (excl. defatted),0,0,,,10660,17301,11891,,3512,39,354
190240,"Couscous, whether or not prepared",0,0,,,421,148,44,,263,329,40
190420,Prepared foods obtained from unroasted cereal flakes or from mixtures of unroasted cereal flakes ...,2,41,,,13,14,96,,1669,2614,247
200110,"Cucumbers and gherkins, prepared or preserved by vinegar or acetic acid",0,5,,,481,620,580,,229,305,66
200520,"Potatoes, prepared or preserved otherwise than by vinegar or acetic acid (excl. frozen)",16,24,,,1510,3006,1153,,6181,12213,10083
200819,"Nuts and other seeds, incl. mixtures, prepared or preserved (excl. prepared or preserved with ...",220,213,,,8796,9130,4879,,23202,27306,4516
200911,"Frozen orange juice, unfermented, whether or not containing added sugar or other sweetening ...",0,0,,,50,271,694,,986,939,124
200929,"Grapefruit juice, unfermented, Brix value > 20 at 20°C, whether or not containing added sugar ...",0,0,,,2,8,15,,21,15,33
220870,Liqueurs and cordials,6,6,,,0,3,4,,37132,53370,7648
220890,"Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous ...",0,1,,,8238,1562,17877,,15399,34912,485
230120,"Flours, meals and pellets of fish or crustaceans, molluscs or other aquatic invertebrates, ...",622,809,,,6806,6187,5791,,2212,3003,2235
240499,Nicotine containing products intended for the intake of nicotine into the human body (excl. ...,0,0,,,,,,,0,0,
250510,"Silica sands and quartz sands, whether or not coloured",8,20,,,1042,769,693,,3680,4079,2438
250590,"Natural sands of all kinds, whether or not coloured (excl. silica sands, quartz sands, gold- ...",0,0,,,328,507,543,,1772,2652,3290
250620,"Quartzite, merely cut, by sawing or otherwise, in blocks or slabs of a square or rectangular ...",0,0,,,1,0,0,,111,190,11
251310,Pumice stone,21,53,,,1941,3132,2141,,40,174,1
251820,"Calcined or sintered dolomite (excl. broken or crushed dolomite for concrete aggregates, road ...",0,17,,,30,71,51,,3850,2738,7119
252010,Gypsum; anhydrite,0,0,,,278,245,658,,2375,2744,3972
252910,Feldspar,0,0,,,9212,8361,13251,,23,458,
260120,Roasted iron pyrites,0,0,,,1,0,0,,5,0,
261690,Precious-metal ores and concentrates (excl. silver ores and oncentrates),0,4,,,0,4,0,,189,217,5
262029,"Slag, ash and residues containing mainly lead (excl. leaded gasoline sludges and leaded anti-knock ...",0,0,,,,,,,197,3,174
270210,"Lignite, whether or not pulverised, non-agglomerated (excl. jet)",26,98,,,175,11,18,,95,144,
271020,Petroleum oils and oils obtained from bituminous minerals (other than crude) and preparations ...,0,0,,,0,0,995,,215,1065,117001
271113,"Butanes, liquefied (excl. of a purity of >= 95% of N-butane or isobutane)",68,411,,,843380,1356498,1307847,,4357,18326,4642231
271114,"Ethylene, propylene, butylene and butadiene, liquefied (excl. ethylene of a purity of >= 95% ...",0,0,,,,,,,3,120,3
271129,"Hydrocarbons in gaseous state, n.e.s. (excl. natural gas)",1,1,,,,,,,998,3255,49
271290,"Paraffin wax, microcrystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, ...",0,0,,,1636,3017,3117,,304,526,85768
271312,"Petroleum coke, calcined",27,21,,,34246,55792,123365,,649,1429,338
300212,Antisera and other blood fractions,0,26,,,0,0,52881,,3477,3987,157
300259,"Cell cultures, whether or not modified (excl. cell therapy products)",0,0,,,,,,,0,0,
71331,"Dried, shelled beans of species ""Vigna mungo [L.] Hepper or Vigna radiata [L.] Wilczek"", whether ...",0,0,,,18,327,772,,23360,22374,7330
71410,"Fresh, chilled, frozen or dried roots and tubers of manioc ""cassava"", whether or not sliced ...",0,0,,,0,0,0,,103,43,
80241,"Fresh or dried chestnuts ""Castanea spp."", in shell",4,0,,,0,0,363,,891,1100,
80430,Fresh or dried pineapples,115,16,,,2097,4000,4793,,14790,16824,170
80510,Fresh or dried oranges,4744,3189,,,178,38,13,,77199,62156,2334
80610,Fresh grapes,106,264,,,5039,5329,6059,,29750,34250,224
80910,Fresh apricots,3,8,,,3525,3165,2136,,1778,3494,81
80940,Fresh plums and sloes,137,217,,,21053,16070,19690,,9171,10590,231
81040,"Fresh cranberries, bilberries and other fruits of the genus Vaccinium",0,1,,,0,0,0,,226,343,510
100199,"Wheat and meslin (excl. seed for sowing, and durum wheat)",0,2,,,0,0,181485,,20986,34258,10162
100410,Oats seed for sowing,0,0,,,,,,,71,0,151
100829,"Millet (excl. grain sorghum, and seed for sowing)",0,0,,,6,137,0,,808,913,18
100830,Canary seed,0,0,,,3317,2375,2129,,498,752,
100840,"Fonio ""Digitaria spp.""",0,0,,,,,,,0,1,
110290,"Cereal flours (excl. wheat, meslin and maize)",0,0,,,257,238,82,,3751,3888,172
110630,"Flour, meal and powder of produce of chapter 8 ""Edible fruit and nuts; peel of citrus fruits ...",71,23,,,373,23,56,,2886,4267,2570
120110,"Soya bean seed, for sowing",0,0,,,0,21384,0,,159,33,3
120241,"Groundnuts, in shell (excl. seed for sowing, roasted or otherwise cooked)",0,0,,,0,0,0,,1442,1245,108
120729,Cotton seeds (excl. for sowing),0,0,,,,,,,5,1,
120910,"Sugar beet seed, for sowing",0,0,,,35083,34479,38438,,47,4,
120924,"Kentucky blue grass ""Poa pratensis L."" seed for sowing",0,0,,,,,,,4,0,
121221,"Seaweeds and other algae, fresh, chilled, frozen or dried, whether or not ground, fit for human ...",0,0,,,277,556,314,,133,94,72
121294,"Chicory roots, fresh, chilled, frozen or dried, whether or not ground",0,0,,,,,,,0,0,
130120,Natural gum Arabic,5,85,,,646,524,508,,2355,2683,1418
130239,"Mucilages and thickeners derived from vegetable products, whether or not modified (excl. from ...",0,3,,,4094,3946,4824,,773,1103,46
150210,"Tallow of bovine animals, sheep or goats (excl. oil and oleostearin)",0,0,,,1891,1242,1310,,39,96,321
291620,"Cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, ...",0,0,,,423,989,1575,,137,87,3
291634,Phenylacetic acid and its salts,0,0,,,0,87,0,,0,0,
291811,"Lactic acid, its salts and esters (excl. inorganic or organic compounds of mercury)",0,1,,,1944,2031,3097,,477,896,6
291812,Tartaric acid,3,0,,,1969,569,758,,242,314,12
291821,Salicylic acid and its salts (excl. inorganic or organic compounds of mercury),0,0,,,938,846,750,,26,39,
292129,"Acyclic polyamines and their derivatives; salts thereof (excl. ethylenediamine and hexamethylenediamine, ...",27,26,,,2588,2034,1839,,3253,4294,5182
292212,Diethanolamine and its salts,0,0,,,552,484,330,,5159,5265,5330
292310,Choline and its salts,0,0,,,316,979,2469,,810,987,12
292320,"Lecithins and other phosphoaminolipids, whether or not chemically defined",11,8,,,4406,3500,7200,,524,845,238
292411,"Meprobamate ""INN""",0,0,,,382,167,48,,0,0,
292529,Imines and their derivatives; salts thereof (excl. chlordimeform [ISO]),0,20,,,5106,4099,3173,,78,1195,179
293040,Methionine,0,0,,,39365,41857,51216,,11539,4882,24
293080,"Aldicarb (ISO), Captafol (ISO) and methamidophos (ISO)",0,0,,,,,,,0,0,
200941,"Pineapple juice, unfermented, Brix value <= 20 at 20°C, whether or not containing added sugar ...",656,0,,,10,172,113,,2395,3378,255
200971,"Apple juice, unfermented, Brix value <= 20 at 20°C, whether or not containing added sugar or ...",12,0,,,12,21,94,,1278,1979,899
200990,"Mixtures of fruit juices, incl. grape must, and vegetable juices, unfermented, whether or not ...",3613,77,,,9243,3072,3895,,43110,45654,4743
280130,Fluorine; bromine,0,0,,,,,,,29,17,
280511,Sodium,0,0,,,65,131,183,,17,265,
281119,"Inorganic acids (excl. hydrogen chloride ""hydrochloric acid"", chlorosulphuric acid, sulphuric ...",0,0,,,223,149,380,,764,108,
281122,Silicon dioxide,134,332,,,9553,13873,19242,,4273,4044,422
281310,Carbon disulphide,0,0,,,0,0,8,,0,0,
281511,"Sodium hydroxide ""caustic soda"" solid",878,845,,,5089,4878,4092,,9892,14608,19400
281512,"Sodium hydroxide ""caustic soda"" in aqueous solution ""soda lye or liquid soda""",0,5,,,709,5504,774,,751,1505,10356
282110,Iron oxides and hydroxides,1,6,,,5734,4367,3706,,1485,1215,971
282560,Germanium oxides and zirconium dioxide,0,0,,,0,1,0,,0,0,29
282890,"Hypochlorites, chlorites and hypobromites (excl. calcium hypochlorites)",0,0,,,252,158,124,,2369,907,59
282919,Chlorates (excl. sodium),0,0,,,269,215,1004,,22,15,
283190,Dithionites and sulfoxylates (excl. sodium),0,0,,,51,175,38,,39,27,11
283321,Sulphate of magnesium,0,0,,,1105,2071,2042,,270,188,96
283324,Sulphates of nickel,0,0,,,565,797,865,,34,0,
283524,Phosphates of potassium,0,0,,,436,502,778,,2317,14,5
283640,Potassium carbonates,0,0,,,2280,2061,5143,,130,124,56
283699,"Carbonates and peroxocarbonates ""percarbonates""; commercial ammonium carbonate containing ammonium ...",0,1,,,7741,10375,11667,,368,397,273
284450,"Spent ""irradiated"" fuel elements ""cartridges"" of nuclear reactors [Euratom]",0,0,,,64,23,63,,8,0,
284910,"Carbides of calcium, whether or not chemically defined",0,133,,,2325,4795,2721,,300,770,34
290123,"Butene ""butylene"" and isomers thereof",0,0,,,0,0,37,,2,0,7
290241,o-Xylene,0,0,,,156,0,0,,2551,11515,40
290244,Mixed xylene isomers,1839,1644,,,1144,114,4720,,40015,43695,1370
290260,Ethylbenzene,0,0,,,,,,,0,4,
