company name ,contact number,Area,product category 1,product category 2,product category 3,company description
Lifefoods Tropical Food Joint Stock Company,tel:+84 90 2725226,Tp.hồ chí minh - Viet Nam,"Fruit, dried","Food, dehydrated and freeze-dried","Fruit juices, freeze-dried",
HIEN NHAN TRADING AND SERVICE,tel:+84 907 992442,Ho - Viet Nam,"Felt, felted fabrics and their products","Yarns and twists, vegetable fibres NES",Mattresses...,
"An Thao Giang Import Export Service Trading Co., Ltd.",tel:+84 336 986114,Thuan thanh - Viet Nam,Refuse derived fuels (RDF),"Pellets, wood",,"ATG Logistic is a member of Vietnam Freight forwarders Association, International Federation of Freight Forwarder association; The Global Logistics Family (GLF)."
CB High Technology International Limited company,tel:+84 0912631038,Ha noi - Viet Nam,Marble and travertine,Stone products,"Stone products, marble...","Our company specializes in exploiting, supplying, importing, exporting and implementing natural stone."
Gia Anh JSC,tel:+84 91 7748616,Hanoi - Viet Nam,"Coils, steel, cold rolled","Stainless steel coils, cold rolled","Pipes, tubes, ducts and pipelines, steel...","Manufacturing and selling stainless steel products, including cold rolled coils, welded pipes & tubes, bars, wires."
"VIETSTONE CO.,LTD",tel:+84 986487623,Ha noi - Viet Nam,Stone products,"Stone products, basalt",Marble and travertine...,
Jobs devsquad,tel:+84 84 394620471,Hồ chí minh - Viet Nam,Wholesale trade,Organic products (wholesale),,The company specializes in importing and exporting agricultural products and household appliances in the country
AIM Inspection Group,tel:+84 28 38327204,Ho chi minh - Viet Nam,Cargo confirming and inspection services,Cargo quantity and quality control services,Quality control services...,
"Barcol-Air Co., LTD",tel:+84 90 3281702,Hcmc - Viet Nam,Oil and gas extraction engineering consultants,Oil and gas industry safety consultants,"Hybrid renewable energy production equipment, parts and accessories...",
WYN Engineering,tel:+84 931798562,Ho chi minh - Viet Nam,Motor vehicle garage and repair shop equipment,"Tools and accessories for tools, metal, by use","Boxes, metal, for packaging, transport and storage...",
"Hang Xanh Co., Ltd",tel:+84 84 947569180,Hcmc - Viet Nam,Animal feed,"Meat, dried, animal feed",Cattle feeds and feed concentrates...,
"NGUYEN PHONG Technical Co., Ltd",tel:+84 84 908848518,Toàn quốc - Viet Nam,"Balustrades, railings and safety guards, metal","Balconies and balustrades, metal, prefabricated","Bronze, copper, brass and wrought iron products, artistic...",
CÔNG TY TNHH XỬ LÝ NƯỚC MINH HOÀNG,tel:+84 24 942868979,Hà nội - Viet Nam,Salt,Salt for water softeners,,"Kinh doanh thiết bị làm mềm nước, thiết bị lọc nước DROP 100% nhập khẩu chính hãng từ Mỹ."
Fabul JSC,tel:+84 84 989204876,Hà nội - Viet Nam,"Cleaning products and detergents, by use",Detergents for dishwashers,"Cleaning and washing machines and equipment, catering industry...","Fabulous được thành lập tháng 11/2015 với mục đích kinh doanh các sản phẩm gia dụng thân thiện với môi trường, có nguồn gốc hữu cơ, có lợi cho sức khỏe người dùng như muối rửa bát hữu cơ, viên rửa bát hữu cơ, bột rửa bát hữu cơ…"
CONG TY TNHH THU HIEN VIET NAM,tel:+84 70 4996136,Thu duc - Viet Nam,"Amines, including salts, amides and other organic nitrogen compounds NES",Ureas...,,Export material Trading company Buying office Agent
"TRINH TRUNG L.A CO., LTD.",tel:+84 700000 777770660,Ho chi minh city - Viet Nam,Textile articles for medical and surgical use,"Masks, non-woven, disposable",Publishing: Educational materials for science and technical studies...,
"Radiant Global ADC Vietnam Co. Ltd.,",tel:+84 903803810,Ho chi minh city - Viet Nam,Hire and rental of computers and computer equipment,Printers (computing),"Software, systems...",
"Tung Anh Production Co., Ltd",tel:+84 0399612317,Ha noi - Viet Nam,"Footwear, sports","Boots and shoes, climbing",Fashion houses...,
EVERTRUST FOODS,tel:+84 349 705688,Cam ranh - Viet Nam,"Food products, deep frozen, NES",Tuna...,,"Import and export Fisheries, frozen product"
DAI THUAN FOOD CORPORATION,tel:+84 355804236,Nha trang - Viet Nam,"Food products, chilled","Spring rolls, filled and chilled","Fish, processed...","Processing & Export Factory from Viet Nam - Dried Fish - Spring Roll - Frozen Cake ( Radish, Chives) - Stuffed Seafood (Melon, Tofu) - Vegantarian Food ( Spring Rolls, Corn Sticky Rice)"
"ALP ALUMINUM CO.,LTD",tel:+84 28 37561864,Ho chi minh - Viet Nam,Structural metal fabrications for building work,"Door and window frames, metal","Window frames, aluminium and light alloy...","Aluminum frame, profiles and fabrication/assembly services"
Better Vietnam Co.Ltd,tel:+84 902013135,Ha long - Viet Nam,Sawmill wood by-products,Wood flour,"Tools, jigs and fixtures for woodworking machinery...",
Viet Khanh Foods Company Limited,tel:+84 798380391,Long khánh - Viet Nam,"Fruit, processed","Fruit purées, tropical fruit",Tea...,
Viet Khanh Foods Company Limited,tel:+84 798380391,Long khanh - Viet Nam,"Fruit and vegetables, deep frozen","Fruit, processed","Fruit purées, tropical fruit...",
HuuNghi Development Corporation,tel:+84 931118601,Ho chi minh - Viet Nam,"Food, dehydrated and freeze-dried","Fruit, tropical and subtropical",Durians...,
HuuNghi Development Corporation,tel:+84 93 1118601,Ho chi minh city - Viet Nam,"Fruit, processed","Fruit purées, tropical fruit","Fruit, fresh, prepared...",
"Seivina import export., ltd.",tel:+84 367 893056,Thuan an - Viet Nam,Oral and dental care products,"Cleaning products and detergents, by use","Drinks, canned, bottled or otherwise packaged...","We are a trading company specializing in branded FMCG goods. We had export experience in more than 10 countries such as the US, UK, Singapore, UAE, Pakistan, Hong Kong....."
"Phuc Thinh Hung Seafood Co., Ltd",tel:+84 905052090,Nha trang - Viet Nam,"Fish, shellfish and seaweed processing machinery and equipment, industrial",Presses for shaping fish and seafood products,Agricultural co-operative associations...,
LiveSpo Pharma Company Limited,tel:+84 976028995 6028995,Hanoi - Viet Nam,Parapharmaceutical preparations,"Dietary supplements, mineral or vitamin based",Bacteria...,
Ngan Hoa Production and Trading Joint Stock Company,tel:+84 0348688493,Ha nam - Viet Nam,Fitting out and furnishing contractors. Interior decoration/design,"Flooring, roofing and wall coverings, plastic, for the building industry","Wall cladding, plastic...",
Aseprohimatea,tel:+84 84 8488127676,Ho chi minh city - Viet Nam,"Training courses, computing systems, information technology (IT), internet and multimedia","Training courses, search engine optimisation (SEO)","Software, internet and intranet...",Blogger
Hoang Linh Son High Technology Application Corporation,tel:+84 93 5777097,Kon tum city - Viet Nam,Wholesale trade,"Food, beverages and tobacco (wholesale)","Lemonade, carbonated and soft drinks, non-alcoholic...",
Phuc Nguyen Export Import And Investment Joint Stock Company,tel:+84 0917531179,Ho chi minh - Viet Nam,"Adhesives, synthetic, by use","Adhesives, synthetic, for natural rubber",,
Sinobake machinery,tel:+84 +86 13392240586,Foshan - Viet Nam,Bakery machinery and equipment,"Biscuit and cake cutting and slicing machines, bakery",,
"Luc Quan (Vietnam) Plastic Industry Co., Ltd.",tel:+84 708 205139,Bien hoa - Viet Nam,"Adhesives, synthetic, by use","Adhesives, synthetic, for leather","Colourants for leather, rubber, plastics and cosmetics...",
Vico Casting Export Company Limited,tel:+84 349 001047,Nam dinh - Viet Nam,"Tools and accessories for tools, metal, by use","Balls, steel, polishing and grinding",Iron castings and parts...,
"FUJIMACHINERY CO.,LTD",tel:+84 220 6284666,Hai duong - Viet Nam,"Metal turning machines, lathes, special purpose",Special purpose precision engineering machine tools,Conveyors...,"Our factory is in Hai Duong city, we’re machinery company, we manufacture industrial machines, equipments,... We also do precision machining with auto lathe, NC machining,..etc. We have strict management system to ensure QCD for our customers."
Tien Dat Business and Export Import Company Limited,tel:+84 888 940088,Hanoi - Viet Nam,Oral and dental care equipment and accessories,Toothbrushes,Oral and dental care products...,Công ty TNHH TM và XNK Tiến Đạt là đơn vị lớn chuyên cung cấp các sản phẩm dùng một lần cho khách sạn theo công nghệ Hàn Quốc và các sản phẩm chăm sóc cá nhân uy tín trên thị trường hiện nay.
ATZ international trade and import-export company,tel:+84 0988402126,Ha noi - Viet Nam,Legal experts,"Experts, chemistry","Chemistry, physics and biological engineering consultants...",
"SEIKI INNOVATIONS VIETNAM CO.,LTD",tel:+84 372 677113,Bắc ninh - Viet Nam,Sheet metal working services,"Sheet metal workers, precision, non-ferrous metals",Prototyping services...,
EES CABLE,tel:+84 828905575,Ho chi minh city - Viet Nam,"Electric cables, insulated","Power cables, polyvinyl chloride (PVC) sheathed",Plastic products for the electrical and electronics industries...,"Specialized cable wholesales: Overhead Bare Conductor, ABC Cable, PVC/XLPE Cable, AL/CU Power Cable, Building Wire, OPGW and so on. Contact us for a good price."
Highland Import and Export Company Limited,tel:+84 83 8777079,Đắk lắk - Viet Nam,Coffee and coffee substitutes,"Coffee, vacuum packed","Coffee beans, raw...","specializes in providing coffee products such as coffee beans, roasted and ground coffee,..."
Khang Dat Construction and Investment JSC,tel:+84 386 511522,Hanoi - Viet Nam,"Fasteners and fixing devices, metal, industrial","Fasteners, metal, industrial, for plastics",,"We believe you will be satisfied with our products because we’re a reliable supplier and can offer the competitive prices in this field. Product Range: ˙Drop-in anchor ˙Drywall Screw ˙Self Drilling Screw ˙Nut, Bolt ˙Thread rod"
SONXI Group,tel:+84 0877725265,Ho chi minh - Viet Nam,Precious metal surface treatment and machining contractors,Jewellery plating services,Jewellery by material type...,
