company name,contact number,area,product category 1,product category 2,product category 3,company description
Casablanca for Sale Moroccan Bath Products,+20 10 5476243,"مصر الجديده,القاهره",Hygiene and cleaning,Bath and shower products,Bath and shower additives...,"Bath and shower additives...Importing & trading of Moroccan bath products [loofah, soaps, mud]. CAPITAL PAID:- 20000 EGP Legal form: Individual Ent. Legal Sector:Private"
El-Shrief,"+20 2 24052568, 010-1198423",مدينه نصر.القاهره,Plastic products,"Plastic products for the chemical, pharmaceutical and cosmetic industries","Health, medical and pharmaceutical...","Health, medical and pharmaceutical...Importer of supplies for pharmacies. Legal form: Joint Stock Legal Sector:Private"
Metry Trading,+20 2 22850095,"العباسيه, القاهره",Hygiene and cleaning,Hair care products,Perfumes and perfumery products...,Perfumes and perfumery products...Importing & trading of cosmetic & personal hygiene products. CAPITAL PAID:- 100000 EGP COMM.REGISTRY NO.:- 161427 Cairo Legal form: Individual Ent. Legal Sector:Private
Int'l Philopatier Trade,+20 10 1410575,حدائق القبه.القاهره,Basic metal products,Precious and rare metals and their alloys,Gold...,Gold...Importer of engraved gold used in printing cards [wedding cards]. Legal form: Ltd. Partnership Legal Sector:Private
Matco France for Import & Trading,+20 2 25763770,عابدين.القاهره,Cement,"Glass, cement and ceramics",Means of transport...,"Means of transport...Commercial agent of motor vehicles spare parts, exporter of cement. Legal form: Partnership Legal Sector:Private"
Kareem for Chemicals,"+20 2 26223853, 02-26221078, 02-26223823",مصر الجديده.القاهره,Glass fibre reinforced plastic (GRP) products,Plastic products,Plastic products for the mechanical engineering industry...,"Plastic products for the mechanical engineering industry...Importer & distributor of glass fiber & polyester materials used in cars, baths & water tanks industries. Legal form: Individual Ent. Legal Sector:Private"
Al-Seif for Plastic Raw Materials Import,"+20 2 29702155, 011-56777737","المعادى, القاهره",Chemical products,Chemicals and auxiliaries for rubber and plastics,Accelerators for plastics...,Accelerators for plastics...Importing & trading of raw materials & additives for plastic industries. Legal form: Individual Ent. Legal Sector:Private
Engineering Technology Office Import & Export,+20 2 24839378,العباسيه.القاهره,Electrical installation contractors,Building industry,Electrical installation contractors with own design department...,Electrical installation contractors with own design department...Electrical installation contractors[specialized installation in lighting]. Legal form: Ltd. Partnership Legal Sector:Private
Tradimpex Egypt for Agencies,"+20 2 24142995, 02-24142994, 012-1017929, 010-1074134",مصر الجديده.القاهره,Pharmaceutical veterinary preparations,"Health, medical and pharmaceutical","Anaesthetics, sedatives and spasmolytics for veterinary use...","Anaesthetics, sedatives and spasmolytics for veterinary use..."
Egypt Tex Import & Export,"+20 11 18851110, 010-3428076, 012-10033071","حدائق القبه, القاهره",Textile spinning and twisting machinery,"Textile, clothing, leather and shoemaking machinery and equipment","Spinning frames, cap, textile...","Spinning frames, cap, textile...Import, export of spare parts, hablonat spinning machines & fabric CAPITAL PAID:- 1000000 EGP Legal form: Partnership Legal Sector:Private"
Egyptian Canadian for Import & Export,"+20 2 22700547, 010-6990699",مدينه نصر.القاهره,Printing equipment. Office and shop equipment,Photocopiers,Mailing and postal machinery and equipment...,Mailing and postal machinery and equipment...
Commercial Group,"+20 2 22710882, 012-22876396",مدينه نصر.القاهره,"Heating, ventilation, air conditioning (HVAC) and refrigeration equipment","Heaters industrial, electric, by use","Heaters, electric, horticultural...","Heaters, electric, horticultural..."
"Rotor Engineering & Trading, RETCO","+20 2 25552032, 02-25552033, 012-28887331","المعادى, القاهره",Electric motors over 1 kW,Engines and mechanical parts,Electric motors up to 1 kW...,"Electric motors up to 1 kW...Importing, exporting & trading in the field of electrical & mechanical supply such as [Electric Motors, Gear Boxes, Spare Parts.....etc]. Legal form: Individual Ent. Legal Sector:Private"
Super Star Trading,+20 2 25112296,القلعه.القاهره,Agriculture and forestry,Oilseed plants and crops,"Seeds, agricultural and horticultural...","Seeds, agricultural and horticultural...Importer, wholesaler of coffee & cardamom. COMM.REGISTRY NO.:- 319546 Cairo Legal form: Individual Ent. Legal Sector:Private"
Int'l Office for Trade & Distribution,"+20 2 22577103, 02-24502230, 02-22570935",مصر الجديده.القاهره,Exhaust system components for internal combustion engine,Engines and mechanical parts,"Exhaust pipes for motor cars, buses and trucks/lorries...","Exhaust pipes for motor cars, buses and trucks/lorries...Agents of passenger motor cars spare parts. CAPITAL PAID:- 10000 EGP Legal form: Individual Ent. Legal Sector:Private"
Alfostat Tannery,"+20 2 25315962, 010-1459724, 010-2990810",مصر القديمه.القاهره,"Leathers, furs and their products","Skins, hides and leathers processing services",Parchment dressing services...,"Parchment dressing services...Finishing services of leather wet blue, crust, cow, buffalo leather. CAPITAL PAID:- 300000 EGP COMM.REGISTRY NO.:- 6150 Legal form: Individual Ent. Legal Sector:Private"
Fact Information Technology,"+20 2 22700127, 012-2752484",مدينه نصر.القاهره,Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)...Importer & trader of all kind of computers, mobiles & cameras, as well as their spare parts. CAPITAL PAID:- 2000000 EGP TOTAL ASSETS:- 11192336 EGP COMM.REGISTRY NO.:- 350775 Cairo Legal form: Partnership Legal Sector:Private"
"Egyptian Contracting, ECC","+20 2 24034841, 012-26500958, 010-20758867","مدينه نصر, القاهره","Flooring, roofing and wall coverings, plastic, for the building industry",Plastic products,"Floor screeds, plastic...","Floor screeds, plastic...Importing & trading of moquette & vinyl flooring. Legal form: Ltd. Liability Legal Sector:Private"
Al-Kalaa for Electrical Equipment & Commercial Agencies,+20 2 25931930,"وسط البلد, القاهره",Compressors by use,Engines and mechanical parts,Compressors for the building industry...,Compressors for the building industry...Commercial agencies & trading of construction machinery. Agent for Eibenstock-Germany Legal form: Partnership Legal Sector:Private
"Egyptian Trading & Marketing Center, E.T.M","+20 2 22624828, 02-22614713, 012-2722832, 012-4089882",مدينه نصر.القاهره,"Health, medical and pharmaceutical",Medical equipment and instruments,First aid kits...,First aid kits...Agent of medical requisites:gauzes;gloves;syringes & medical articles. CAPITAL PAID:- 150000 EGP TOTAL ASSETS:- 9864438 EGP COMM.REGISTRY NO.:- 356345 Cairo TAX CARD NO.:- 715-787-659 Legal form: Individual Ent. Legal Sector:Private
Technology Office for Lippa Elevators,+20 2 25791869,شبرا.القاهره,Lifts and elevators,Handling and storage plant and equipment,Escalators and moving walkways...,Escalators and moving walkways...Importer of elevators & escalators. Installation & maintenance services for electric elevators & mobile mechanical ladders. Legal form: Ltd. Partnership Legal Sector:Private
Dr.Farouk Ghoraba Foreign Trade Ltd. Organization,"+20 2 26326076, 02-26375186",مصر الجديده.القاهره,Food,"Abattoir products, non-processed",Kosher meat...,Kosher meat...
M.R Import & Export,"+20 2 24148550, 02-24148660, 012-2303557",مصر الجديده.القاهره,Rubber products,"Inflatable structures and goods, rubber","Balloons, rubber...","Balloons, rubber...Agent & distributor of rubber inflatable children toys, ballons sports & children stationery . 5 Server:1 Application:Accounting CAPITAL PAID:- 250000 EGP Legal form: Individual Ent. Legal Sector:Private"
Karim Engineering for Trucks & Equipment,"+20 2 23634312, 02-25322757",المنيل.القاهره,Internal combustion engines,Engines and mechanical parts,Petrol engines...,"Petrol engines...Importer for engines, trans missions & spare parts. Legal form: Individual Ent. Legal Sector:Private"
El-Sayyad Int'l Trading,"+20 2 22703308, 02-22703307, 02-22703309",مدينه نصر.القاهره,Furniture and linen,Office furniture,"Furniture, metal, for offices...","Furniture, metal, for offices...Importer & distributor of metal products[pipes, cutters & blocks] & metal office furniture[chairs & office part]. 25 Computers CAPITAL PAID:- 1000000 EGP COMM.REGISTRY NO.:- 216160 Cairo Legal form: Joint Stock Legal Sector:Private"
Arabian Trading for Haberdashery,"+20 2 25905937, 02-25934841, 011-11055563",الازهر.القاهره,"Tableware, plastic",Plastic products,"Jugs, plastic, kitchenware...","Jugs, plastic, kitchenware..."
Maxim Holding,"+20 2 22917276, 02-29083293, 02-26910008, 02-24186663, 02-24173111, 012-1977922",مصر الجديده.القاهره,"Hospitality, tourism, hotel and catering industries",Hotels and motels,"Hotel, restaurant and bar operators...","Hotel, restaurant and bar operators...Ownership & management of hotels in marina. CAPITAL PAID:- 200000000 EGP CAPITAL ISSUED:- 200000000 EGP CAPITAL AUTHORIZED:- 1000000000 EGP COMM.REGISTRY NO.:- 14794 Cairo Legal form: Joint Stock Legal Sector:Private Inv. Law"
Essam Salah for Trading & Supplies,"+20 2 27865350, 02-27880380, 02-29240380, 02-25890468, 012-3151206, 012-2485853, 012-1890963, 012-9200212, 012-2485835, 012-7077772, 012-7077771",وسط البلد.القاهره,Furniture and linen,Furniture for hotels and restaurants,"Metal pipework, valves and containers...","Metal pipework, valves and containers...Agrifood supply chain trade. Importer & distributor of display cabinets & hotel kitchen equipment components [valves, cocks, handles, joints, thermostat & hot plate E.G.O]. Legal form: Individual Ent. Legal Sector:Private"
"Egyptian Engineering & Trading-Mohamed El-Deghidi & Co., EETCO","+20 2 25757636, 02-25747793, 02-25755229, 012-3120911",وسط البلد.القاهره,Metal constructions for the building industry,"Installation and maintenance services, for metal building equipment",Repair and maintenance services for tanks and vats...,Repair and maintenance services for tanks and vats...
Multi Trading & Stores,+20 2 23921808,وسط البلد.القاهره,Agriculture and forestry,Cereals and pseudo cereals,Barley...,Barley...
Auto Home Emil Gendy Moussa & Co.,+20 2 24317265,شبرا.القاهره,Means of transport,Motor vehicle body spare parts,"Bumpers, energy absorbing, commercial vehicle...","Bumpers, energy absorbing, commercial vehicle...Importer & distributor of automotive spare parts for heavy cars(Mercedes & Man). Legal form: Partnership Legal Sector:Private"
Chemical Trading & Marketing,+20 2 22751891,"مدينه نصر, القاهره",Chemical products,Insecticides,Insecticides for human parasites...,"Insecticides for human parasites...Trading & distributing of pest control products (insecticides), importing of Pest control equipment. Legal form: Ltd. Partnership Legal Sector:Private"
Sherinil Group,"+20 2 24053840, 012-2103969",مدينه نصر.القاهره,Means of transport,Motor vehicle body spare parts,"Bumpers, energy absorbing, commercial vehicle...","Bumpers, energy absorbing, commercial vehicle...Importer of automotive spare parts & accessories. CAPITAL PAID:- 50000 EGP TOTAL ASSETS:- 1164784 EGP COMM.REGISTRY NO.:- 285175 Cairo TAX CARD NO.:- 316-100-080 Legal form: Ltd. Partnership Legal Sector:Private"
ITIC Egypt,"+20 2 25163945, 010-18800991","المعادى, القاهره",Information technology (IT) and Internet,Personal computers (PC),"Computers, desktop/personal computers (PCs)...","Computers, desktop/personal computers (PCs)...Trading & supplying of computers, hardware components, accessories & software packages. Legal form: Individual Ent. Legal Sector:Private"
Summit Trade for Import & Commercial Agencies,,وسط البلد.القاهره,Wholesale trade,"General traders, department and retail stores","Food, beverages and tobacco (wholesale)","Food, beverages and tobacco (wholesale)"
Evergreen Int'l for Import & Export,+20 2 25933392,حدائق القبه.القاهره,Chemical products,"Adhesives, synthetic",Wholesale trade...,"Wholesale trade...Imports the adhesive materials, silicon, adhesive rolls, spray, red silicon & epoxy steel. CAPITAL PAID:- 20000 EGP COMM.REGISTRY NO.:- 338952 Cairo Legal form: Ltd. Partnership Legal Sector:Private"
Afro Arab,"+20 2 27033883, 02-27034083, 011-1351199, 012-6642830",وسط البلد.القاهره,"Textile and fabric conditioning, winding, folding and cutting machinery and equipment","Textile, clothing, leather and shoemaking machinery and equipment","Cuttling machines, textile fabric...","Cuttling machines, textile fabric...Manufacturer of cutting tools of marble & granite. CAPITAL PAID:- 25000 EGP COMM.REGISTRY NO.:- 20172 Cairo TAX CARD NO.:- 288-963-857 Legal form: Individual Ent. Legal Sector:Private"
Al-Kholafaa for Trade & Import Steel,"+20 2 25765335, 010-1110041","وسط البلد, القاهره",Basic metal products,"Flats, steel, hot rolled","Flats, steel, cold rolled...","Flats, steel, cold rolled...Importing & trading of cold rolled steel using in all feeding industries. Legal form: Partnership Legal Sector:Private"
"Food Machinery Trading, F.M.T","+20 2 23495041, 02-23494064, 010-1412494, 012-22100658",مدينه نصر.القاهره,Furniture and linen,Furniture for hotels and restaurants,"Furniture, hotel, wooden...","Furniture, hotel, wooden..."
Rehab for Import & Export,"+20 10 1435651, 010-6697479",المنيل.القاهره,Air pumps,Engines and mechanical parts,Vacuum pumps...,"Vacuum pumps...Importer & distributor of pumps, valves, pipes & power stations. CAPITAL PAID:- 5000 EGP COMM.REGISTRY NO.:- 2000 Legal form: Individual Ent. Legal Sector:Private"
Infocast,"+20 2 22736611, 02-22725212, 02-22718051, 02-22736622, 02-27684700",مدينه نصر.القاهره,Hygiene and cleaning,"Washing machines and equipment, domestic","Washing machines, electric, domestic...","Washing machines, electric, domestic..."
Harhash Import,"+20 2 24823692, 02-24845751",حدائق القبه.القاهره,Chemical products,"Chemicals for papermaking, printing and photography",Wholesale trade...,"Wholesale trade...Importer of photography chemicals, paper materials & films. Legal form: Individual Ent. Legal Sector:Private"
Alamia for Trade & Distribution-Mohamed Nabil Ibrahim El-Ghannam & Co.,"+20 2 26223519, 02-26224323, 012-3101057",مصر الجديده.القاهره,Chemical products,"Chemicals for paint, lacquer and varnish making",Wholesale trade...,Wholesale trade...Importer & distributor of raw materials used for paints industry. CAPITAL PAID:- 50000 EGP COMM.REGISTRY NO.:- 352727 Cairo Legal form: Ltd. Partnership Legal Sector:Private
Advanced Chemical Treatment,"+20 2 29178808, 02-29178824",المعادى.القاهره,Chemical products,"Chemicals for papermaking, printing and photography",Chemicals for water treatment...,"Chemicals for water treatment...Importer & Exporter of chemicals to the following sectors[Paper production, Sugar industry & Cooling water treatment]. CAPITAL PAID:- 50000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
Reliance Capital SAE,"+20 2 23957017, 02-23932262, 012-2408063",وسط البلد.القاهره,Cement,"Glass, cement and ceramics",Building industry...,Building industry...
Beka Sport Egypt,"+20 2 24472775, 011-19383342, 011-24433833","المعادى, القاهره",Plastic articles for decoration,Plastic products,"Grass matting, artificial, plastic...","Grass matting, artificial, plastic...Importing, manufacturing & installing of sports playgrounds equipment, the artificial grass & sports flooring. CAPITAL PAID:- 1000000 EGP Legal form: Ltd. Partnership Legal Sector:Private"
Misr Tech Commercial Sani Acrylic,"+20 2 24197802, 02-24197803, 02-24175631, 02-24175632, 02-24159222, 02-22907147, 02-24153702, 02-26968700, (10 Line)",مصر الجديده.القاهره,Baths,Furniture and linen,Showers and shower trays...,Showers and shower trays...
El-Akkad for Export & Import,"+20 2 24189779, 012-22109909",مصر الجديده.القاهره,Food,"Meat, poultry and game, canned and otherwise packaged","Beef and veal, processed and preserved...","Beef and veal, processed and preserved...Manufacturer, exporter & packaging of foodstuffs. Import machinery & accessories manufacturing olive. Legal form: Ltd. Partnership Legal Sector:Private"
Safety City for Import & General Supply,"+20 2 22878572, 011-44454104, 011-44454103","مدينه نصر, القاهره",Rubber products,"Technical parts, rubber, by industry","Road signalling and marking products, rubber...","Road signalling and marking products, rubber...Manufacturing of speed bumps, in addition to import & distribute of road requirements such as [signs, markers, catseyes (road surface reflectors), anti-skid...etc]."
"Dar El-Shorouk for Publications, Distribution & Printing","+20 2 22623398, 02-22604008, 02-22631516, 02-24023399, 02-24023145",مدينه نصر.القاهره,Publishing houses,Printing and publishing,Publishers of literary books...,Publishers of literary books...
Gharib for Import & Export-Mohamed Gharib,+20 10 1665765,وسط البلد.القاهره,Paper and board,"Paper and board, graphic design use, for drawing and writing",Wholesale trade...,Wholesale trade...
Agricultural Projects,"+20 2 20800852, 012-21798672, 012-22418625",مدينه نصر.القاهره,Agriculture and forestry,Fruit vegetables,Peppers...,Peppers...
El-Sheikh Supplies,+20 2 22716860,مدينه نصر.القاهره,Wholesale trade,"General traders, department and retail stores",Chemicals and pharmaceuticals (wholesale),"Chemicals and pharmaceuticals (wholesale)Importer of raw materials used in plastic industries such as [polyproplene, polyethlene, polyurethane, PVC, PP]. CAPITAL PAID:- 1000000 EGP Legal form: Individual Ent. Legal Sector:Private"
El-Masriya Group for Trading,+20 2 43125357,"ط. القاهره/الاسماعليه ,القاهره","Coal, wood and resin distillation products",Chemical base materials,Charcoal from wood distillation...,"Charcoal from wood distillation...Importing & supplying of food & beverage stuff, cosmetics, toys, ready made garments [women, men & children], in addition to exporting of charcoal, marble & granite. Legal form: Partnership Legal Sector:Private"
"Int'l Engineering Consortium, IEC","+20 2 29179708, 010-6687825",المعادى.القاهره,Electric substations and switch- boxes,Electrical equipment. Nuclear equipment,Transformer booths...,Transformer booths...Manufacturing & importing of electrical boards & components. CAPITAL PAID:- 6000000 EGP COMM.REGISTRY NO.:- 36791 TAX CARD NO.:- 320-981-584 Legal form: Ltd. Partnership Legal Sector:Private
Multi Food for Trading & Packing of Foodstuff,"+20 2 26902905, 010-5132418, 010-2174495",مصر الجديده.القاهره,Food,"Abattoir products, non-processed","Meat, poultry and game, canned and otherwise packaged...","Meat, poultry and game, canned and otherwise packaged..."
Unitrade for Hotel Equipment & Touristic Projects,+20 12 73173390,"المطريه, القاهره",Furniture and linen,Furniture for hotels and restaurants,"Work tables, stainless steel, for institutional kitchens...","Work tables, stainless steel, for institutional kitchens..."
Saad Gaafar Hegazy & Sons,"+20 2 25904704, 02-25900571, 02-25935391, 02-25926676, 012-2102674",الازهر.القاهره,Paper and board,Stationery articles,"Envelopes, paper...","Envelopes, paper...Manufacturer of stationery [envelopes, files & binders]. Importer & distributor of stationery requisites [pens & rulers]. COMM.REGISTRY NO.:- 240694 Legal form: Individual Ent. Legal Sector:Private"
Imports for Import & Export,+20 2 26712180,مدينه نصر.القاهره,Food,"Meat, poultry and game, canned and otherwise packaged",Wholesale trade...,Wholesale trade...
Thebes Import & Export-Magdy Samir & Co.,"+20 2 27921764, 02-27941816, 012-2189208",عابدين.القاهره,Furniture and linen,Furniture for hotels and restaurants,Hygiene and cleaning...,"Hygiene and cleaning...Importer of hotel equipment & requisites [safes, bathroom accessories, hair & hand drier, soap dispenser & air fresheners]. Exporter of chairs, tables & trollies for parties. Legal form: Ltd. Partnership Legal Sector:Private"
Arabiya & Al-Soweida Trading,+20 10 9941890,المطريه.القاهره,Means of transport,"Motorcycles, motor scooters and mopeds, personal transporters",Wholesale trade...,Wholesale trade...Importer & wholesaler of motorcycles from china (Wind Motorcycle). CAPITAL PAID:- 50000 EGP COMM.REGISTRY NO.:- 2234 Cairo Legal form: Partnership Legal Sector:Private
Fourlink Distribution,"+20 2 24187980, 010-92661663","مصر الجديده,القاهره",Telephones,Electronic equipment. Telecommunications equipment,"Telephones, mobile (cellular phones)","Telephones, mobile (cellular phones)Apple authorized dealer, importing & distributing of mobile phones (IPhone, Samsung, Nokia...etc). Legal form: Partnership Legal Sector:Private"
