Product Code,Product Label,"UAE export to russia Value in 2022, USD thousands","nnual growth in value between 2018-2022, %, p.a","Russia Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported Uae to russia in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"russia import from world Value in 2022, USD thousand ","Annual growth in value between russia import from world 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported russia to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"uae to world export Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported Uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
20110,"Carcases or half-carcases of bovine animals, fresh or chilled", , , ,20, , , ,152,14,-74,0,3,Tons,"4,667",17,0,0,"38,415",Tons,"4,511",1
20120,"Fresh or chilled bovine cuts, with bone in (excl. carcases and 1/2 carcases)", , , ,20, , , ,608, , , , ,Tons, ,34,-39,0,"2,290",Tons,"9,909",2
20130,"Fresh or chilled bovine meat, boneless", , , ,20, , , ,152,"2,523",-27,0,221,Tons,"11,416",242,-25,0,"29,140",Tons,"8,822",8
20220,"Frozen bovine cuts, with bone in (excl. carcases and half-carcases)", , , ,20, , , ,512,2,-64,0,0,Tons, ,38,-39,0,"2,042",Tons,"7,135",1
20230,"Frozen, boneless meat of bovine animals", , , ,20, , , ,384,"540,246",-15,2,"131,057",Tons,"4,122","3,944",3,0,"101,593",Tons,"3,858","1,335"
20312,"Fresh or chilled hams, shoulders and cuts thereof of swine, with bone in", , , ,49, , , ,228,38, ,0,5, ,"7,600",1, ,0,22, ,"2,227",
20319,"Fresh or chilled meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts . . .", , , ,49, , , ,456,4,65,0,0,Tons, ,9, ,0,188,Tons,"7,277",
20321,Frozen carcases and half-carcases of swine, , , ,49, , , ,148,338,-78,0,185,Tons,"1,827", , , ,90,Tons,"3,267",
20322,"Frozen hams, shoulders and cuts thereof of swine, with bone in", , , ,49, , , ,222,184,-71,0,125,Tons,"1,472",21,-17,0,"1,731",Tons,"1,776",1
20329,"Frozen meat of swine (excl. carcases and half-carcases, and hams, shoulders and cuts thereof, . . .", , , ,49, , , ,592,"28,771",-34,0,"12,652",Tons,"2,274",114,-40,0,"13,507",Tons,"2,512",5
20421,Fresh or chilled sheep carcases and half-carcases (excl. lambs), , , ,11, , , ,37,1,-87,0,0,Tons, , , , ,"8,771",Tons,"6,960",
20422,"Fresh or chilled cuts of sheep, with bone in (excl. carcases and half-carcases)", , , ,11, , , ,148,118,-43,0,5, ,"23,600", , , ,"4,927", ,"9,658",-
20423,Fresh or chilled boneless cuts of sheep, , , ,11, , , ,37,6,-55,0,0, , , , , ,"1,807", ,"10,498",
20430,Frozen lamb carcases and half-carcases, , , ,11, , , ,36,11,-48,0,2, ,"5,500", , , ,"2,057", ,"5,785",
20441,Frozen sheep carcases and half-carcases (excl. lambs), , , ,11, , , ,36,"1,013",-30,0,221,Tons,"4,584", , , ,985,Tons,"4,470",7
20442,"Frozen cuts of sheep, with bone in (excl. carcases and half-carcases)", , , ,11, , , ,144,718,-46,0,55,Tons,"13,055",30,-45,0,"6,131",Tons,"6,259",1
20443,Frozen boneless cuts of sheep, , , ,11, , , ,72,86,-57,0,13,Tons,"6,615",17,-52,0,"2,493",Tons,"8,081",-
20500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen", , , , , , , ,,"12,314",-19,3,"4,376",Tons,"2,814", , , , ,Tons, ,
20610,Fresh or chilled edible offal of bovine animals, , , ,8, , , ,111, , , , ,Tons, ,87, ,0,134,Tons,"4,500",
20621,Frozen edible bovine tongues, , , ,11, , , ,36,"37,455",-6,7,"9,008",Tons,"4,158", , , ,101,Tons,"2,802",
20622,Frozen edible bovine livers, , , ,7, , , ,74,"45,420",-1,12,"28,544",Tons,"1,591",96,26,0,"1,767",Tons,"1,339",
20629,Frozen edible bovine offal (excl. tongues and livers), , , ,8, , , ,111,"67,001",-1,3,"29,337",Tons,"2,284","3,829", ,0,"3,983",Tons,"1,993",1
20630,Fresh or chilled edible offal of swine, , , ,8, , , ,148,1,82,0,0, , , , , ,52, ,"2,212",
20649,"Edible offal of swine, frozen (excl. livers)", , , ,8, , , ,111,74,-55,0,60,Tons,"1,233",338, ,0,"2,768",Tons,"1,238",
20690,"Frozen edible offal of sheep, goats, horses, asses, mules and hinnies", , , ,9, , , ,111,132,1,0,43,Tons,"3,070", , , ,"2,530",Tons,"2,447",
20711,"Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces", , , ,60, , , ,93,"6,198",34,1,"3,255",Tons,"1,904", , , ,180,Tons,"4,722",
20712,"Frozen fowls of the species Gallus domesticus, not cut in pieces", , , ,60, , , ,62,"2,407",11,0,"1,581",Tons,"1,522",176,-18,0,"277,686",Tons,"1,869",43
20713,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus, , , ,60, , , ,279,447,10,0,194,Tons,"2,304", , , ,260,Tons,"6,485",5
20714,Frozen cuts and edible offal of fowls of the species Gallus domesticus, , , ,60, , , ,372,"93,393",-4,1,"44,808",Tons,"2,084","5,052",-7,0,"265,336",Tons,"2,103",347
20725,"Frozen turkeys of the species domesticus, not cut into pieces", , , ,60, , , ,62,1, ,0,0,Tons, ,91,-6,0,391,Tons,"2,703",-
20726,Fresh or chilled cuts and edible offal of turkeys of the species domesticus, , , ,60, , , ,310,27,-22,0,24,Tons,"1,125",6, ,0,47,Tons,"4,468",
20727,Frozen cuts and edible offal of turkeys of the species domesticus, , , ,60, , , ,465,"2,146",-23,0,"1,010",Tons,"2,125",261,-6,0,"2,351",Tons,"2,595",3
20741,"Fresh or chilled domestic ducks, not cut in pieces", , , ,60, , , ,93,1,59,0,0,Tons, , , , ,0,Tons, ,
20742,"Frozen domestic ducks, not cut in pieces", , , ,60, , , ,62,27,-45,0,16,Tons,"1,688",3,-60,0,"1,140",Tons,"2,847",
20745,Frozen cuts and edible offal of domestic ducks, , , ,60, , , ,341,196,124,0,113,Tons,"1,735",11,-42,0,292,Tons,"4,688",
20753,"Fatty livers of domestic geese, fresh or chilled", , , , , , , ,, , , , , , ,1, ,0, , , ,
20810,"Fresh, chilled or frozen meat and edible offal of rabbits or hares", , , ,11, , , ,72,318,-42,0,81,Tons,"3,926", , , ,7,Tons,"6,714",
20890,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals . . .", , , ,11, , , ,180, , , , ,Tons, ,92,15,0,41,Tons,"12,902",
20910,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, . . .", , , ,11, , , ,96,402,-62,0,385,Tons,"1,044", , , ,17,Tons,882,
20990,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, . . .", , , , , , , ,,1,-19,0,2,Tons,500, , , , ,Tons, ,
21011,"Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in", , , ,11, , , ,145,35,3,0,2,Tons,"17,500", , , ,40,Tons,"12,150",
21012,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked", , , ,11, , , ,87,8,7,0,1,Tons,"8,000",8, ,0,289,Tons,"4,920",
21019,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with . . .", , , ,11, , , ,290,216,14,0,10,Tons,"21,600", , , ,341,Tons,"9,284",
21020,"Meat of bovine animals, salted, in brine, dried or smoked", , , ,11, , , ,58,11,-42,0,2,Tons,"5,500","8,338",205,3,158,Tons,"12,500",-
21099,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat . . .", , , ,11, , , ,377,9,-7,0,2,Tons,"4,500",117,-15,0,388,Tons,"2,804",
30111,Live ornamental freshwater fish, , , ,6, , , ,6,"1,251",-14,0,0,Tons, ,15, ,0,0,Tons, ,
30119,Live ornamental fish (excl. freshwater), , , ,6, , , ,6,243,-18,0,12,Tons,"20,250",2,-42,0,0,Tons, ,
30191,"Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, . . .", , , ,8, , , ,64,"5,620",4,5,509,Tons,"11,041", , , ,0,Tons, ,
30192,"Live eels ""Anguilla spp.""", , , ,8, , , ,96,105, ,0,0, , , , , ,0, , ,
30199,"Live fish (excl. ornamental fish, trout [Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,7, , , ,165,"21,864",51,2,"1,656",Tons,"13,203",9, ,0,0,Tons, ,
30211,"Fresh or chilled trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .", , , ,2, , , ,102,"119,187",39,17,"15,121",Tons,"7,882",2,94,0,163,Tons,"10,712",
30213,"Fresh or chilled Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, . . .", , , ,2, , , ,34,48, ,0,40,Tons,"1,200",15,-25,0,1,Tons,"20,000",
30214,"Fresh or chilled Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""", , , ,2, , , ,34, , , , ,Tons, ,51,8,0,"7,261",Tons,"8,951",
30219,"Fresh or chilled salmonidae (excl. trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,5, , , ,34,"1,506",21,1,73,Tons,"20,630",200,2,0,159,Tons,"4,686",7
30221,"Fresh or chilled lesser or Greenland halibut ""Reinhardtius hippoglossoides, Atlantic halibut . . .", , , ,6, , , ,102,133, ,0,15,Tons,"8,867",4,26,0,2,Tons,"20,500",
30229,"Fresh or chilled flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .", , , ,6, , , ,68,558,240,0,79,Tons,"7,063", , , ,98,Tons,"7,102",
30231,"Fresh or chilled albacore or longfinned tunas ""Thunnus alalunga""", , , , , , , ,, , , , , , ,2,-21,0,2, ,"24,500",
30232,"Fresh or chilled yellowfin tunas ""Thunnus albacares""", , , ,4, , , ,68,258,-25,0,11, ,"23,455",2,-50,0,159, ,"5,176",
30233,Fresh or chilled skipjack or stripe-bellied bonito, , , , , , , ,,64, ,1,48, ,"1,333", , , , , , ,
30235,"Fresh or chilled Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)", , , ,5, , , ,136,131,35,0,3, ,"43,667", , , ,55, ,"26,036",
30239,"Fresh or chilled tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus . . .", , , , , , , ,, , , , , , ,5,-24,0,3, ,"5,333",
30243,"Fresh or chilled sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", . . .", , , , , , , ,, , , , , , ,1, ,0,0, , ,
30244,"Fresh or chilled mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""", , , ,4, , , ,34, , , , ,Tons, ,4,-24,0,7,Tons,"5,857",-
30247,"Fresh or chilled swordfish ""Xiphias gladius""", , , ,5, , , ,34,7,-41,0,1, ,"7,000", , , ,1, ,"15,000",
30249,"Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, . . .", , , , , , , ,, , , , , , ,3,-5,0,174, ,"6,678",
30255,"Fresh or chilled Alaska pollack ""Theragra chalcogramma""", , , ,5, , , ,34, , , , ,Tons, ,11, ,0, ,Tons, ,
30279,"Fresh or chilled, Nile perch ""Lates niloticus"" and snakeheads ""Channa spp.""", , , ,5, , , ,34, , , , ,Tons, ,30,37,0,72,Tons,"16,639",
30281,Fresh or chilled dogfish and other sharks, , , , , , , ,, , , , , , ,1, ,0,0, , ,
30284,"Fresh or chilled sea bass ""Dicentrarchus spp.""", , , ,5, , , ,68,"14,773",1,2,"2,388",Tons,"6,186",15, ,0,"2,337",Tons,"7,185",
30285,"Fresh or chilled sea bream ""Sparidae""", , , ,5, , , ,102,"15,098",1,2,"3,138",Tons,"4,811", , , ,"1,870",Tons,"4,941",
30289,"Fresh or chilled fish, n.e.s.", , , ,4, , , ,476,"2,664",0,0,431,Tons,"6,181",56,-16,0,"1,826",Tons,"5,321",
30291,"Fresh or chilled fish livers, roes and milt", , , ,4, , , ,34,"5,961",290,13,217,Tons,"27,470", , , ,4,Tons,"37,500",
30299,"Fresh or chilled fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, . . .", , , ,4, , , ,476,89,11,0,4, ,"22,250",1,-48,0,4, ,"1,750",
30312,"Frozen Pacific salmon (excl. sockeye salmon ""red salmon"")", , , ,5, , , ,34,"21,296",0,1,"3,159",Tons,"6,741",163,7,0,0,Tons, ,
30313,"Frozen, Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho""", , , ,2, , , ,34,"218,437",-9,20,"26,065",Tons,"8,380",274,52,0,"2,758",Tons,"7,992",33
30314,"Frozen trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, . . .", , , ,2, , , ,102,"251,176",36,41,"37,329",Tons,"6,729", , , ,0,Tons, ,
30319,"Frozen salmonidae (excl. trout and Pacific, Atlantic and Danube salmon)", , , ,2, , , ,34,"6,584",-36,11,"1,797",Tons,"3,664",778,-8,1,64,Tons,"5,391",
30323,"Frozen tilapia ""Oreochromis spp.""", , , , , , , ,, , , , , , ,316,272,0,"2,307", ,"1,206",
30324,"Frozen catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , , ,5, , , ,34,541,238,0,280,Tons,"1,932",2, ,0,"1,030",Tons,"1,561",
30325,"Frozen carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., . . .", , , ,5, , , ,714,328,15,1,473,Tons,693, , , ,"3,820",Tons,"1,495",
30326,"Frozen eels ""Anguilla spp.""", , , , , , , ,,"3,773",32,9,257, ,"14,681", , , , , , ,
30329,"Frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.)", , , ,5, , , ,34,284,91,1,227,Tons,"1,251",10,-45,0,62,Tons,"3,161",
30331,"Frozen lesser or Greenland halibut ""Reinhardtius hippoglossoides"", Atlantic halibut ""Hippoglossus . . .", , , ,4, , , ,102, , , , ,Tons, ,8, ,0,0,Tons, ,
30332,"Frozen plaice ""Pleuronectes platessa""", , , ,6, , , ,34,1,-60,0,0,Tons, , , , ,10,Tons,"2,300",
30333,"Frozen sole ""Solea spp.""", , , ,5, , , ,34,76, ,0,49, ,"1,551",80, ,0,7, ,"6,000",
30339,"Frozen flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae"" . . .", , , ,6, , , ,136,19,-40,0,11,Tons,"1,727",1,69,0,386,Tons,"2,119",
30341,"Frozen albacore or longfinned tunas ""Thunnus alalunga""", , , ,5, , , ,68, , , , ,Tons, ,16,21,0, ,Tons, ,
30342,"Frozen yellowfin tunas ""Thunnus albacares""", , , ,4, , , ,170,745,153,0,30,Tons,"24,833",90,33,0,1,Tons,"22,000",-
30343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""", , , ,6, , , ,68,488,-43,0,235,Tons,"2,077",13, ,0,313,Tons,"1,300",2
30349,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, . . .", , , ,6, , , ,68,"1,486",3,1,170,Tons,"8,741",42,-40,0,446,Tons,"2,726",
30351,"Frozen herrings ""Clupea harengus, Clupea pallasii""", , , ,2, , , ,34,"1,984",16,0,"2,384",Tons,832,51,-47,0,47,Tons,"1,255",
30353,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling . . .", , , ,5, , , ,102,"5,434",-22,1,"3,564",Tons,"1,525",497,43,0,485,Tons,"1,767",2
30354,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""", , , ,2, , , ,68,"4,630",-40,0,"3,745",Tons,"1,236",186,18,0,748,Tons,"2,040",37
30355,"Frozen jack and horse mackerel ""Trachurus spp.""", , , ,5, , , ,136,746,15,0,623,Tons,"1,197",588,132,0,157,Tons,"1,510",
30359,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus . . .", , , ,5, , , ,714,"15,446",-20,2,"7,773",Tons,"1,987","1,601",198,0,"1,144",Tons,"3,847",
30363,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""", , , ,4, , , ,102,1,-52,0,0,Tons, ,2,-42,0,263,Tons,"4,871",
30364,"Frozen haddock ""Melanogrammus aeglefinus""", , , ,4, , , ,34,18, ,0,9,Tons,"2,000",29, ,0, ,Tons, ,
30365,"Frozen coalfish ""Pollachius virens""", , , ,4, , , ,34, , , , ,Tons, ,10, ,0, ,Tons, ,
30366,"Frozen hake ""Merluccius spp., Urophycis spp.""", , , ,5, , , ,170,"27,666",2,5,"16,180",Tons,"1,710",14, ,0,144,Tons,"1,250",
30367,"Frozen Alaska pollack ""Theragra chalcogramma""", , , ,6, , , ,34,195,-19,0,153,Tons,"1,275", , , ,3,Tons,"4,333",
30368,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""", , , ,4, , , ,68,219,-32,0,143,Tons,"1,531",125,3,0,472,Tons,888,
30369,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, . . .", , , ,6, , , ,204,789,-35,0,342,Tons,"2,307",223,11,0,98,Tons,"1,184",
30381,Frozen dogfish and other sharks, , , , , , , ,, , , , , , ,41, ,0, , , ,
30382,"Frozen rays and skates ""Rajidae""", , , ,5, , , ,34, , , , ,Tons, ,126,484,0,15,Tons,"2,200",
30383,"Frozen toothfish ""Dissostichus spp.""", , , ,5, , , ,34,"1,583",-11,0,41,Tons,"38,610",7, ,0,83,Tons,"11,217",
30384,"Frozen sea bass ""Dicentrarchus spp.""", , , ,4, , , ,68,"5,820",24,10,"1,094",Tons,"5,320",152,17,0,40,Tons,"13,200",6
30389,"Frozen fish, n.e.s.", , , ,5, , , ,714,"49,606",-1,1,"21,081",Tons,"2,353","5,400",2,0,"19,234",Tons,"1,525",
30391,"Frozen fish livers, roes and milt", , , ,2, , , ,68,138,-55,0,27,Tons,"5,111", , , ,48,Tons,"4,542",
30399,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt . . .", , , ,4, , , ,714,232,-86,0,208,Tons,"1,115",79,-24,0,1,Tons,"29,000",
30431,"Fresh or chilled fillets of tilapia ""Oreochromis spp.""", , , ,5, , , ,34,10,305,0,12,Tons,833,33,78,0,41,Tons,"7,390",
30432,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus . . .", , , , , , , ,, , , , , , ,1,4,0,2, ,"5,000",
30433,"Fresh or chilled fillets of Nile perch ""Lates niloticus""", , , ,5, , , ,34, , , , ,Tons, ,22,-8,0,55,Tons,"5,327",
30439,"Fresh or chilled fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, . . .", , , ,5, , , ,136,11,-38,0,9,Tons,"1,222",30,156,0,1,Tons,"5,000",
30441,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus . . .", , , ,3, , , ,34,2,-53,0,0,Tons, ,5,-44,0,170,Tons,"12,747",
30442,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , ,4, , , ,102,"7,639",287,3,533,Tons,"14,332",66, ,0,11,Tons,"10,182",
30445,"Fresh or chilled fillets of swordfish ""Xiphias gladius""", , , ,4, , , ,34,21,171,0,1, ,"21,000",3,195,0, , , ,
30446,"Fresh or chilled fillets of toothfish ""Dissostichus spp.""", , , , , , , ,, , , , , , ,22,85,0, , , ,
30447,Fresh or chilled fillets of dogfish and other sharks, , , , , , , ,, , , , , , ,4,215,0, , , ,
30449,"Fresh or chilled fillets of fish, n.e.s.", , , ,4, , , ,136,886,22,0,316,Tons,"2,804",238,-8,0,76,Tons,"26,118",
30452,"Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)", , , ,5, , , ,34,2, ,0,1, ,"2,000",19, ,0,1, ,"12,000",
30454,"Fresh or chilled meat, whether or not minced, of swordfish ""Xiphias gladius"" (excl. fillets)", , , , , , , ,, , , , , , ,2, ,0, , , ,
30459,"Fresh or chilled fish meat, whether or not minced (excl. all fillets, tilapias, catfish, carp, . . .", , , ,4, , , ,102,142,58,0,111,Tons,"1,279",17,-2,0,1,Tons,"56,000",
30461,"Frozen fillets of tilapia ""Oreochromis spp.""", , , ,4, , , ,34,"17,460",7,2,"4,936",Tons,"3,537",13,71,0,15,Tons,"2,467",
30462,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , , ,4, , , ,34,2,-23,0,1,Tons,"2,000",851,43,0,71,Tons,"1,141",
30463,"Frozen fillets of Nile perch ""Lates niloticus""", , , ,4, , , ,34, , , , ,Tons, ,140,10,0,640,Tons,"6,164",
30471,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""", , , ,4, , , ,68,134, ,0,26,Tons,"5,154","1,079",68,0,66,Tons,"10,121",
30472,"Frozen fillets of haddock ""Melanogrammus aeglefinus""", , , ,4, , , ,34, , , , ,Tons, ,2, ,0,1,Tons,"11,000",
30473,"Frozen fillets of coalfish ""Pollachius virens""", , , ,4, , , ,34, , , , ,Tons, ,7, ,0,0,Tons, ,
30474,"Frozen fillets of hake ""Merluccius spp., Urophycis spp.""", , , ,5, , , ,136,"8,426",-3,1,"3,014",Tons,"2,796",7, ,0,3,Tons,"4,333",
30475,"Frozen fillets of Alaska pollack ""Theragra chalcogramma""", , , ,5, , , ,34,939,-47,0,305,Tons,"3,079",1, ,0,96,Tons,"3,219",
30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, . . .", , , ,5, , , ,170, , , , ,Tons, ,111,366,0,5,Tons,"5,400",
30481,"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus . . .", , , ,3, , , ,34,"34,174",-12,1,"2,559",Tons,"13,354",474,7,0,499,Tons,"13,116",
30482,"Frozen fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .", , , ,3, , , ,102,"4,198",80,1,318,Tons,"13,201",16,25,0,5,Tons,"8,800",
30483,"Frozen fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .", , , ,5, , , ,136,"4,140",0,1,"1,520",Tons,"2,724",65,293,0,59,Tons,"7,780",
30484,"Frozen fillets of swordfish ""Xiphias gladius""", , , , , , , ,, , , , , , ,5, ,0, , , ,
30487,"Frozen fillets of tuna ""of the genus Thunnus"", skipjack or stripe-bellied bonito ""Euthynnus . . .", , , ,4, , , ,34,"16,963",1,1,"2,053",Tons,"8,263",97,15,0,160,Tons,"13,656",
30489,"Frozen fish fillets, n.e.s.", , , ,4, , , ,408,"2,096",-26,0,375,Tons,"5,589","1,597",12,0,441,Tons,"8,422",
30491,"Frozen meat, whether or not minced, of swordfish ""Xiphias gladius"" (excl. fillets)", , , , , , , ,,98, ,0,29,Tons,"3,379", , , , ,Tons, ,
30493,"Frozen meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., . . .", , , ,3, , , ,272,1, ,0,0, , , , , ,0, , ,
30494,"Frozen meat, whether or not minced, of Alaska pollack ""Theragra chalcogramma"" (excl. fillets)", , , , , , , ,,232,-37,0,72,Tons,"3,222", , , , ,Tons, ,
30495,"Frozen meat, whether or not minced, of fish of the families Bregmacerotidae, Euclichthyidae, . . .", , , ,3, , , ,306,37,-22,0,24,Tons,"1,542", , , ,4,Tons,"7,000",
30499,Frozen fish meat n.e.s. (excl. fillets), , , ,2, , , ,272,"21,073",-8,1,"6,273",Tons,"3,359",774,-22,0,338,Tons,"2,769",
