company name,contact number,area,company description
Import-Garant,7 800 201-31-05·,"Moskovskoye Shosse, 12, Ofis 5.16",Exporter
Автосалон ImportCar-NN,7 920 011-15-55⋅,"Ulitsa Parkovaya Alleya, 3А",Car dealer
Legal Import - доставка грузов из Китая,7 800 350-54-56,"Ulitsa Kerchenskaya, 13",Logistics service
Spak Import,7 905 661-34-49,"Ulitsa Volzhskaya Naberezhnaya, 9",Logistics service
Linotek,7 831 213-80-10,"пом. 2 Зеленая улица, д. 6, п",Import export company
Shvetsov Ltd,7 904 907-95-49⋅ ,"Ulitsa Akademika Bakha, 2, 102",Import export company
"Ooo ""Gelor Import Eksport""",,,·
Merkuriy-Volga-Inter-Lab,7 831 266-66-70·,"Pereulok Mogilevicha, 5",Medical equipment supplier
"Kompan'on-Nn, Transportno-Tamozhennaya Kompaniya",7 929 053-63-58·,"Moskovskoye Shosse, 12, офис 5.11, 5 Etazh",Customs broker
Karpikha,,155376,Ivanovo Oblast
Gromylikha,,155373,Ivanovo Oblast
Maslovo,,155373,Ivanovo Oblast
Novopokrovskoe,,606536,Nizhny Novgorod Oblast
Likhunikha,,155360,Ivanovo Oblast
Markovskaya,,155362,Ivanovo Oblast
Nebuchino,,155362,Ivanovo Oblast
Solov'evo,,155360,Ivanovo Oblast
"Import-Avto, Magazin",,,Auto parts store
"Ooo ""Rus'import-Cherepovets""",7 820 224-49-66·,"Ulitsa Belinskogo, 1/3",Wine store
Rus'import,,"Zosimovskaya Ulitsa, 69",Wine store
Rus'import-Kareliya,7 814 256-80-93·,"Novosulazhgorskaya Ulitsa, 23",Wholesaler
Santekhimport,7 817 252-92-23⋅ ,"Ulitsa Leningradskaya, 61",Bathroom supply store
Avtopart-Kareliya,7 814 256-99-99·,"Novosulazhgorskaya Ulitsa, 22А",Truck accessories store
Severnaya Trubnaya Kompaniya,7 820 220-13-08·,"Moskovskiy Prospekt, 51А",Pipe supplier
Auto Import,7 494 246-65-55·,"Ulitsa Severnoy Pravdy, 35",Auto repair shop
Nasos-Import V Vologde,,·,·
Malyi Dor,,161115,Vologda Oblast
Gorka,,162580,Vologda Oblast
Kuz'minskoe,,162574,Vologda Oblast
Borok,,161250,Vologda Oblast
Eremeevskaya,,162946,Vologda Oblast
Kholmy,,162689,Vologda Oblast
Pankratovo,,162965,Vologda Oblast
,,,
Nasos-Import V Petrozavodske,,,·
Rus'import-Kareliya,,"Novosulazhgorskaya Ulitsa, 23",Wholesaler
Avtopart-Kareliya,,"Novosulazhgorskaya Ulitsa, 22А",Truck accessories store
Reka Padas,,,River
Reka Tomitsa,,,River
Kargo Import Ekspress,,,·
Карго доставка Import Express,7 495 256-00-44,"дом 1, строение 27, Tikhoretskiy Bul'var",Shipping company
Belstroyimport,7 903 720-95-96⋅ ,"Tikhoretskiy Bul'var, 1",Flooring store
Best Bureau,7 906 785-28-57⋅ ,"БЦ ""Салтыковка, мкр. Салтыковка, Shosse Razinskoye, д. 69, оф. 303",Import export company
Mashinoeksport-Import,7 499 245-25-57⋅,"Ulitsa Rossolimo, 17с1",Store
Eksport V Kitay,7 495 799-28-67⋅ ,"Luchnikov Pereulok, 4 стр. 2",Import export company
Rus Export-Import Inc,,"Inn Hotel, apt. 1017 city Park",Import export company
ast import,,"Ulitsa Kulakova, 20 стр. 1а",Store
Import-Bt,,"Altuf'yevskoye Shosse, 27",Appliance store
Premium Import,,,·
Pauline imports,,"Ryabinovaya Ulitsa, 26, стр. 2",Corporate office
Aziya Import,,,·
PORT-IMPORT,7 495 120-15-34⋅,"дом МКАД, 69-й км, переулок Вокзальный, 6",Transportation service
Ekspress-Import,7 495 648-08-32⋅ ,"Mitinskaya Ulitsa, 16",Transportation service
Rus Export-Import Inc,,"8th, Krylatskaya Ulitsa",Import export company
Rus Eksport-Import,7 495 118-03-72,"Krylatskaya Ulitsa, 8",Auto machine shop
Reté home,7 495 255-77-00⋅ ,"Shelepikhinskaya Naberezhnaya, 34",Furniture store
"PARTSIMPORT, магазин автомотозапчастей",7 926 111-30-20⋅ ,"Ulitsa Ivana Franko, 10",Auto parts store
Triton-Import,7 499 322-23-53⋅ ,"ул. Кржижановского, 3",Auto repair shop
Import Logistic,,"Bol'shaya Ochakovskaya Ulitsa, 47Ас1",Logistics service
Car-import,7 926 700-43-34⋅ ,"Kasimovskaya Ulitsa, 19",Car repair and maintenance service
Vine Import,,"Ulitsa Logisticheskaya, 1/16",Wholesaler
« ГЛОБАЛ ИМПОРТ-ЭКСПОРТ ГРУПП»,,"д, 8с4",Import export company
DS GLOBAL,,"Aparinki village bl.5, w/h no",Import export company
Kitkrep,,"142105, Ulitsa Bol. Serpukhovskaya, 43",Import export company
Rozdom,,"2-й подъезд, дом 16",Importer
CWORKS,7 495 221-00-61·,"г. Москва, МКАД 26-й км, внешняя сторона, Vladeniye, 5, стр. 4",Importer
Yevroegz,,"Ulitsa Admirala Kornilova, 61",Importer
BELLARIA COMPANY,7 495 777-91-58,"МО Лыткарино 5 микрорайон, блок 1, дом 3А офис 305",Importer
ADDITIV PLUS,7 903 132-09-20·,"Revolyutsionnyy Prospekt, 58",Importer
PKS - LOGISTICS,7 499 959-43-23,"13, Kutuzovskaya Ulitsa, Str",Importer
MSDS,7 800 511-91-99·,"prospekti Vernadskogo, 15, офис 11",Importer
Vilcommos,7 915 079-59-88,"Ulitsa Dmitriya Ul'yanova, 16 корпус 2",Import export company
Miner Store,7 971 482-61-76·,Tsimlyanskaya Ulitsa,Equipment importer
Goodwin,7 499 346-66-24⋅ ,"2-Oy Kotlyakovskiy Pereulok, 1, строение 37",Importer
3Mimport,,"Presnenskaya Naberezhnaya, 6с2",Equipment importer
Oldim Group,7 495 201-15-23·,"4-я магистральная ул., д.5, 4-Ya Magistral'naya Ulitsa, д.5, к.5, Ofis 10",Importer
Interkema,7 495 647-02-52,"Bol'shaya Ochakovskaya Ulitsa, 47А, стр. 1",Importer
ilkin,7 495 788-62-88·,"Ryabinovaya Ulitsa, 63, стр 4",Importer
EastMax,7 916 282-76-88·,"Bol'shaya Ochakovskaya Ulitsa, 47ас1",Importer
EFFECTIVE BUSINESS SOLUTIONS COMPANY LIMITED,,"Bolshaia Yamskaya Street, 38-a house, 2 building, office 303",Importer
My Flavor,7 499 755-73-72,"Vitebskaya Ulitsa, 9, стр. 9",Importer
"Td ""Divin""",7 985 760-97-70⋅ ,"г.Москва, поселение Московский, 22-ой км., Киевского шоссе, домовладение 4, Корпус ""г"" , 10 подьезд, 9 этаж",Wine wholesaler and importer
Resurs-Import,7 495 782-18-43,"3-Ya Institutskaya Ulitsa, дом 15, помещение 4",Importer
Importer of raw materials,,"Mira Ave, 1",Importer
Expro,86 131 7888 8875·,"Prospekt Mira, 36, стр 1",Import export company
"Доставка грузов из Китая, США, Европы - «Экспресс Импорт»",7 495 134-25-54·,"Elektrodnaya Ulitsa, 10с3",Importer
"Тоалла Текстиль ""Toalla Textile""",7 495 790-90-61·,"Ostapovskiy Proyezd, 5 стр. 1",Importer
Vexma Ltd.,,"Kuskovskaya Ulitsa, 20A",Import export company
ATV Group,,"Moskovskaya Kol'tsevaya Avtomobil'naya Doroga, 8-й км",Importer
Шерпа Сервис,7 495 940-96-89·,"Novoryazanskoye Shosse, 6с3, Ofis 26",Equipment importer
Pnevmekh,7 800 550-80-28·,"складской комплекс, Балашихинский р-н, Балашиха г, Западная промзона Объездное ш, дом №2",Importer
Larenta,,"Prospekt Mira, 69 корпус 2",Equipment importer
Posrednik V Kitaye,,"Tikhoretskiy Bul'var, дом 1",Importer
Konbrio,7 495 505-75-57,"Leninskaya Ulitsa, д.12, Pom. 01",Importer
Ooo Torgovyy Dom Aston Ms,7 499 707-16-72·,"Россия, г. Москва, ул, 13-Ya Parkovaya Ulitsa, д. 27, корпус 2",Importer
Mistel',,"5-Ya Parkovaya Ulitsa, 6",Wine wholesaler and importer
TimeToThai,7 914 977-70-77·,"Ulitsa Novaya, 22А",Importer
"Ooo ""Yunayted Treyding Import End Eksport Servisez""",7 926 865-52-44,"Свердловский, Ulitsa Mikhaila Marchenko, 10, кв. 193",Import export company
0,7 495 128-10-10⋅,"Ulitsa Pervomayskaya, 126",Importer
TMDL Станки с ЧПУ из Китая,7 923 723-21-11·,"Shosse Entuziastov, дом 55, Etazh 1",Equipment importer
WWG,,"Ulitsa Silikatnaya, 36",Wine wholesaler and importer
Lignofix - биозащита древесины,7 926 904-22-47⋅ ,"Ulitsa Kalinina, 6А",Importer
Fresh Import,,"Звездная улица, дом 7б, эт/ч.н.пом 5/521",Fruit and vegetable wholesaler
Flanderr,7 495 510-19-52,"Ulitsa Sovetskaya, 1",Seafood wholesaler
Agrokhimspetszhir,7 495 228-70-34,"Ulitsa Zavodskaya, 2",Chemicals
Tovary Dlya Detey Ikh Roditeley,7 985 769-33-60,"Московская обл, г Пушкино, мкр Заветы Ильича, ул Энтузиастов, влд 23А",Clothing store
Пиво в Оптом,,#ERROR!,Wine wholesaler and importer
ООО «ФудБиоСаинс»,7 495 114-52-04·,"141032, вл.22, стр.1, пом.15, Promyshlennyy Proyezd",Importer
ООО «Мрамортурк»,7 495 780-10-40,"Россия. Административно-бытовой, офис 7, Ulitsa Silikatnaya, 42",Importer
"Ooo ""Delayt""",7 495 517-43-11⋅ ,"ul. Letnaya, 16, корп. 3, пом. 1",Importer
"Ooo ""Delayt""",7 495 517-43-11,"ul. Letnaya, 40, пом. 18",Importer
Colibry.net,7 499 502-98-08·,Kommunisticheskaya Ulitsa,Store
Tekhnoal'yans,,"Olimpiyskiy Prospekt, 40к3",Importer
Laiwu Manhing Vegetables Fruits Corporation,7 981 457-50-66,"Bol'shaya Novodmitrovskaya Ulitsa, 36, стр. 1, 3 этаж",Importer
Lkm Treyd Grupp,7 495 728-78-72⋅ ,"Ulitsa Pryanishnikova, дом 23А",Importer
Vash Importor,7 499 649-20-87,"Seleznevskaya Ulitsa, 11",Consultant
Rocket Company,,"Petrovka Ulitsa, 27",Importer
Kontinent,7 495 419-12-56,"УЛИЦА ОРДЖОНИКИДЗЕ. 11, СТРОЕНИЕ 3, ЭТ 4 ПОМ I КОМ 13",Importer
Fukushi.rf,,"улица Покровка д. 50, к.2, стр. 5",Importer
KALINKA EXPORT,,"Ulitsa Aviakonstruktora Mikoyana, 12",Wine wholesaler and importer
JATHACTMNOPT,7 499 678-21-70,"Talalikhina Ulitsa, д.41, стр.9, этаж 2, офис 15",Importer
Oleoeksim,7 963 774-68-64,"2-Y Kozhukhovskiy Proyezd, д.23",Importer
« ГЛОБАЛ ИМПОРТ-ЭКСПОРТ ГРУПП»,,"д, 8с4",Import export company
"Ooo ""Prs""",7 999 931-75-83,"Nikopol'skaya Ulitsa, 6/2",Importer
Cemb,,"Privol'naya Ulitsa, 70",Importer
EcoJilong,,"Ilovayskaya Ulitsa, 3 с2",Equipment importer
Interrayt Torgovaya Kompaniya,7 495 505-50-67·,"Kotlyakovskaya Ulitsa, 3 стр1",Equipment importer
SUMMER BREEZE,7 926 691-30-20,"Ulitsa Marshala Zakharova, дом 5",Wine wholesaler and importer
Prof Farm,7 499 702-55-07,"Ulitsa Verkhniye Polya, 45 к 4",Equipment importer
Forever Flauvers,7 495 109-00-90·,"Территория «Колычевское-Жеребятьево», стр. 1",Importer
Vikart,7 800 350-00-75·,"Ulitsa Transportnaya, д.1",Wholesale market
TerraWide,7 495 120-27-82·,"Elektrodnyy Proyezd, 6",Equipment importer
Urozhay,7 925 279-40-19⋅ ,"89 of, 2-nd fl., Duhovskoi 17/15 Per",Importer
«Немецкие гидравлические грейферы HGT - greifer-hgt.ru»,,"№3683, д. 4 cтр 11, 3683-Y Proyektiruyemyy Proyezd",Importer
Ooo Daymond Grupp,7 495 185-60-90·,"Ulitsa Solntseva, д.8",Equipment importer
Inter-Agro,7 926 377-27-87·,"Ulitsa Dzerzhinskogo, 5",Import export company
FJB GROUP LLC - ООО ФЖБ ГРУПП,,#ERROR!,Import export company
"Vinario, Vinnyy Butik",7 495 653-84-50⋅,"Presnenskaya Naberezhnaya, 10",Wine wholesaler and importer
"Экспорт импорт сахар, мука, масло - ООО Ярка Трейд",380 95 693 0063·,"Shota Rustaveli St, 27А, оф.4",Wholesaler
Мир тепла - импортер отопительного оборудования,380 97 612 3454·,"Reheneratorna St, 4",Importer
"Tov ""Indastrial Support""",380 44 527 6808⋅ ,"Pyrohivskyi shliakh St, 28",Wholesaler
Staricova,,"Mikhaylovskaya St, 1",Wine wholesaler and importer
Mtsb,7 812 225-07-72·,"Sverdlovskaya Naberezhnaya, 34",Wine wholesaler and importer
IMEX TRADE,,"Mykhaila Boichuka St, 12А",Importer
Импортер Кофе PELLINI | LOFBERGS | BLACK PROFESSIONAL,7 499 951-03-20·,"Ulitsa Vereyskaya, 29, стр. 154, оф. 15",Coffee wholesaler
ramazanov company,,"Teplychnyi Ln, 5",Wine wholesaler and importer
Worldwide Spirits Wine Group,380 67 329 0889,"Zarichanska St, 3/1, OFFICE 209",Wine wholesaler and importer
"Ooo ""Fattura""",7 495 133-98-11·,"Дмитровское ш., 163А. 2",Wholesaler
Ireval' Rus,7 985 768-83-66,"Ulitsa Leninskaya Sloboda, д.19",Wine wholesaler and importer
Wine-Select,7 916 678-22-12,"Sadovnicheskaya St, 57",Wine wholesaler and importer
"Ooo ""Fud Import""",7 927 261-53-81·,"Ulitsa Gubanova, 3, офис 314",Importer
"Ooo ""Fud Import""",7 927 261-53-81·,"п.Мехзавод, кв-л 5-й, дом 5, оф.58",Importer
Importer-Group,998 90 121 55 15⋅ ,"г.Ташкент, улица, 60 Little Ring Road",Importer
"Ooo ""Sk-Import""",,#ERROR!,Importer
Kprr,,"Посадская улица, дом 23, офис 101,102",Wine wholesaler and importer
Import,,#ERROR!,·
Компания Perfect Impex,998 71 273 11 99⋅ ,8635+W38,Importer
Tsizhuyke,,"ПОМЕЩЕНИЕ ТЗ-6, Gvardeyskaya, ДОМ 46А",Import export company
Ural Importer Limited,7 343 364-50-94·,"Furmanov St, 126",Customs broker
Atoir,,"Ulitsa Inskaya, 39, 4 этаж, офис 404",Equipment importer
Yumz-Import,,"Ulitsa Shosseynaya, 17",Equipment importer
DHOWA TECHNOS,7 343 926-41-31,"Ulitsa Malysheva, 51",Equipment importer
"ТД Восток, икра с дальнего востока",7 983 510-55-10⋅ ,"Ulitsa Zhukovskogo, 106Б",Importer
Atvira,7 343 287-38-65·,"Ulitsa Khokhryakova, 63",Equipment importer
ImportOk,7 901 469-67-40·,"Maerchaka St, 3, офис - 805",Importer
Importer,,"Vavilova St, 3/2",Corporate office
Rus'import - Krasnoyarsk,,"Marii Tsukanovoy Ulitsa, 17",Importer
Vip Import,,"Komsomol'skiy Prospekt, 90, оф. 13",Import export company
Dzhiviti,,"1-Ya Krasnokazach'ya Ulitsa, 115",Importer
Skik,,"Semafornaya St, 443",Equipment importer
Vincorp,,"Ulitsa Gaydashovka, 3, стр. 9",Importer
Daily Wines,7 983 208-48-89,"Dubrovinskogo St, 1/3",Wine wholesaler and importer
Ooo Asia Ekspert,7 923 783-00-33·,"Parusnaya Ulitsa, 8, офис 244",Wholesaler
Sibirskoye Importno-Eksportnoye Partnerstvo,7 383 263-50-15,"Kommunisticheskaya Ulitsa, 6",Import export company
Avers-Treyd,,"Traktovaya St, 14В",Equipment importer
Tekhnologii Chistoty,,"Ulitsa Yaroslavskogo, 280",Equipment importer
Fulltax /Фуллтакс,7 983 699-95-99·,"Ulitsa Baumana, 237/1",Customs broker
Vedon,7 914 954-84-23·,"Mkrn Raduzhnyy, 12",Industrial equipment supplier
Спецтехника и Самосвалы,7 395 262-66-44·,"Traktovaya St, 7",Construction machine dealer
Import Oplodotvorennykh Kurinykh Yaits,,"Ulitsa Pozharskogo, 8",Wholesaler
